test_lot,mode,feedback,policy,budget,total_system_mae,unmeasured_wafer_mae,measured_fraction,high_error_capture,p95_system_error,cumulative_system_error,updates,update_runtime_seconds,drift_error_threshold,drift_onset_wafer_order,recovery_wafer_count,random_replicates
4,causal_feedback,F0,combined,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374183,2.4808403844580154,0.0,0.0029216999992058845,0.186147802036805,1.0,3.0,1
4,causal_feedback,F0,combined,0.1,0.22335334567855608,0.24817038408728453,0.1,0.0,0.3823129588374183,2.233533456785561,0.0,0.0017552999997860752,0.186147802036805,1.0,3.0,1
4,causal_feedback,F0,combined,0.2,0.21043870080542804,0.2630483760067851,0.2,0.0,0.3823129588374183,2.1043870080542804,0.0,0.004089699999894947,0.186147802036805,1.0,3.0,1
4,causal_feedback,F0,combined,0.3,0.18597535322812753,0.2656790760401821,0.3,0.0,0.3823129588374183,1.8597535322812753,0.0,0.0020607999995263526,0.186147802036805,1.0,3.0,1
4,causal_feedback,F0,combined,0.5,0.11479697062771144,0.22959394125542287,0.5,0.5,0.3229675291781192,1.1479697062771144,0.0,0.0062503000008291565,0.186147802036805,1.0,3.0,1
4,causal_feedback,F1,combined,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374183,2.4808403844580154,0.0,0.0017138000002887566,0.186147802036805,1.0,3.0,1
4,causal_feedback,F1,combined,0.1,0.22074315562680535,0.24527017291867262,0.1,0.0,0.40249680060802395,2.2074315562680535,1.0,0.0015917000000627013,0.186147802036805,1.0,3.0,1
4,causal_feedback,F1,combined,0.2,0.20745418490848397,0.25931773113560497,0.2,0.0,0.39945347407177134,2.0745418490848397,2.0,0.004174900001089554,0.186147802036805,1.0,3.0,1
4,causal_feedback,F1,combined,0.3,0.17819141435037392,0.25455916335767703,0.3,0.0,0.3827155634030412,1.7819141435037391,3.0,0.004649900000003981,0.186147802036805,1.0,3.0,1
4,causal_feedback,F1,combined,0.5,0.1057192487478212,0.21143849749564242,0.5,0.5,0.2901114707052907,1.057192487478212,5.0,0.0043786999995063525,0.186147802036805,1.0,3.0,1
4,causal_feedback,F2,combined,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374183,2.4808403844580154,0.0,0.001568399999086978,0.186147802036805,1.0,3.0,1
4,causal_feedback,F2,combined,0.1,0.3051504365608424,0.3390560406231582,0.1,0.0,0.5347827234989195,3.051504365608424,1.0,0.003873800000292249,0.186147802036805,1.0,3.0,1
4,causal_feedback,F2,combined,0.2,0.224728345477553,0.28091043184694126,0.2,0.0,0.3993960855639657,2.24728345477553,2.0,0.007918200000858633,0.186147802036805,1.0,3.0,1
4,causal_feedback,F2,combined,0.3,0.19613273414663673,0.280189620209481,0.3,0.5,0.39116048801976483,1.9613273414663672,3.0,0.010494999998627463,0.186147802036805,1.0,10.0,1
4,causal_feedback,F2,combined,0.5,0.1329014831716118,0.2658029663432236,0.5,1.0,0.3293058561135438,1.329014831716118,5.0,0.020335000001068693,0.186147802036805,1.0,3.0,1
4,causal_feedback,F3,combined,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374183,2.4808403844580154,0.0,0.0016493000002810732,0.186147802036805,1.0,3.0,1
4,causal_feedback,F3,combined,0.1,0.2768674424093854,0.3076304915659837,0.1,0.0,0.5161182384471621,2.7686744240938537,1.0,0.004241900000124588,0.186147802036805,1.0,3.0,1
4,causal_feedback,F3,combined,0.2,0.19720481804059026,0.2465060225507378,0.2,0.0,0.39716514354062443,1.9720481804059027,2.0,0.01003130000026431,0.186147802036805,1.0,3.0,1
4,causal_feedback,F3,combined,0.3,0.1765717669928514,0.2522453814183591,0.3,0.5,0.39576836905585805,1.765717669928514,3.0,0.018910000000687432,0.186147802036805,1.0,4.0,1
4,causal_feedback,F3,combined,0.5,0.1281611413006996,0.2563222826013992,0.5,1.0,0.3206394850951854,1.2816114130069962,5.0,0.03633280000030936,0.186147802036805,1.0,4.0,1
4,direct_substitution,F0,combined,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,combined,0.1,0.22335334567855608,0.24817038408728453,0.1,0.0,0.3823129588374182,2.233533456785561,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,combined,0.2,0.21043870080542804,0.2630483760067851,0.2,0.0,0.3823129588374182,2.1043870080542804,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,combined,0.3,0.18597535322812747,0.2656790760401821,0.3,0.0,0.3823129588374182,1.8597535322812748,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,combined,0.5,0.11479697062771144,0.22959394125542287,0.5,0.5,0.3229675291781192,1.1479697062771144,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,disagreement,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,disagreement,0.1,0.22599019366483725,0.2511002151831525,0.1,0.0,0.3823129588374182,2.2599019366483724,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,disagreement,0.2,0.21307554879170923,0.26634443598963653,0.2,0.0,0.3823129588374182,2.1307554879170922,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,disagreement,0.3,0.18597535322812747,0.2656790760401821,0.3,0.0,0.3823129588374182,1.8597535322812748,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,disagreement,0.5,0.11479697062771144,0.22959394125542287,0.5,0.5,0.3229675291781192,1.1479697062771144,0.0,0.0,0.186147802036805,1.0,3.0,1
4,direct_substitution,F0,no_metrology,0.0,0.24808403844580154,0.24808403844580154,0.0,0.0,0.3823129588374182,2.4808403844580154,0.0,0.0,0.186147802036805,1.0,3.0,1
