scope,family,lot_number,lolo_mae,chronological_mae,relative_degradation
lot,gpr,4.0,0.20686185590318312,0.25109770960623495,0.21384248686116103
lot,gpr,5.0,0.2446711871818888,0.17935499611754285,-0.26695497666339363
lot,gpr,6.0,0.1847974346722766,0.2518006966710588,0.36257679722452374
lot,gpr,7.0,0.15040181435374608,0.2022891574209513,0.3449914702835022
lot,gpr,8.0,0.2872647431775371,0.30411112327197437,0.05864409223385203
lot,gpr,9.0,0.11484969463970013,0.135598554568077,0.18066099342683506
lot,gpr,10.0,0.14702668416304954,0.14702668416304954,0.0
macro,gpr,,0.19083905915591165,0.21018270311698414,0.10136103189058976
lot,pls,4.0,0.14558216783238448,0.24808403844580157,0.7040825956887264
lot,pls,5.0,0.1472462218960636,0.14549729459373517,-0.01187756996279965
lot,pls,6.0,0.15170838434026573,0.21551217499757724,0.4205686517246563
lot,pls,7.0,0.12948488604417083,0.15582837808654978,0.20344839345491228
lot,pls,8.0,0.2470046884890146,0.245653751979988,-0.005469274762720411
lot,pls,9.0,0.08957749572447743,0.10394052194504472,0.1603419040061702
lot,pls,10.0,0.10137289310385034,0.10137289310385034,0.0
macro,pls,,0.14456810534717526,0.17369843616464958,0.2014990149280773
lot,ridge,4.0,0.15826958179484238,0.33086496316660774,1.0905151793191243
lot,ridge,5.0,0.14854260692030158,0.16579375495840878,0.11613602585662886
lot,ridge,6.0,0.13231972647889792,0.19661401472834242,0.48590100630005484
lot,ridge,7.0,0.19872151459067625,0.17866264382159072,-0.10093960289303605
lot,ridge,8.0,0.2225327036754099,0.22908634100334763,0.029450221112205632
lot,ridge,9.0,0.11036262393934039,0.12930902366267963,0.17167405999473995
lot,ridge,10.0,0.12583078441511264,0.12583078441511264,0.0
macro,ridge,,0.15665422025922585,0.1937373608222985,0.236719703444368
