experiment_key,lot_number,family,stage,mae,rmse,mean_shift_absolute_error,residual_profile_mae,residual_profile_rmse
2024-07-11_01,4,ridge,template,0.5712488957768305,0.6098267560842491,0.5712488957768305,0.15333889399196482,0.2134557835009164
2024-07-11_01,4,ridge,mean_shift,0.3754228511937942,0.4318630439253489,0.3754228511937942,0.15333889399196482,0.2134557835009164
2024-07-11_01,4,ridge,full_map,0.37542285119379304,0.48280192901832897,0.37542285119379304,0.1565355214124241,0.3035710550519313
2024-07-11_02,4,ridge,template,0.6323983339790772,0.6537415480403725,0.6323983339790772,0.12395423688231601,0.1656814981061866
2024-07-11_02,4,ridge,mean_shift,0.5537040749860737,0.5779606919773124,0.5537040749860737,0.12395423688231601,0.1656814981061866
2024-07-11_02,4,ridge,full_map,0.5537040749860727,0.6163270267569844,0.5537040749860727,0.15540471252835533,0.27068579802960147
2024-07-11_03,4,ridge,template,0.5803635025184032,0.5915931525919618,0.5803635025184032,0.0771130595666696,0.1147199334826673
2024-07-11_03,4,ridge,mean_shift,0.4444782842226484,0.45904423347187034,0.4444782842226484,0.07711305956667096,0.11471993348266732
2024-07-11_03,4,ridge,full_map,0.4444782842226471,0.5429024365225922,0.4444782842226471,0.12965532666886878,0.3117404536415815
2024-07-11_04,4,ridge,template,0.25688372723750424,0.27586347032746517,0.25688372723750424,0.07079311650827755,0.10055548190765022
2024-07-11_04,4,ridge,mean_shift,0.35398427963437135,0.3679895041573123,0.35398427963437135,0.07079311650827755,0.10055548190765022
2024-07-11_04,4,ridge,full_map,0.353984279634369,0.4196565081600982,0.353984279634369,0.11626934104464338,0.22540344853809005
2024-07-11_05,4,ridge,template,0.1916169701666016,0.21647899225273887,0.1907297946532346,0.07810085543013177,0.10239775152949565
2024-07-11_05,4,ridge,mean_shift,0.4863093061955703,0.49697287733910916,0.4863093061955703,0.07810085543013177,0.10239775152949565
2024-07-11_05,4,ridge,full_map,0.4863093061955681,0.5407130863128107,0.4863093061955681,0.09680940179293542,0.2363766071706552
2024-07-11_06,4,ridge,template,0.1164702440914392,0.14837236037059515,0.08789604804339442,0.09623195869556747,0.11953510806576889
2024-07-11_06,4,ridge,mean_shift,0.19642932421978782,0.22581094762331563,0.19157750913467045,0.09623195869556747,0.11953510806576889
2024-07-11_06,4,ridge,full_map,0.19252203917465924,0.2647135659686034,0.19157750913466853,0.10411004636444336,0.18267821435948553
2024-07-11_07,4,ridge,template,0.5103780705153041,0.5319436022307766,0.5103780705153041,0.1186062008889515,0.14992738606181982
2024-07-11_07,4,ridge,mean_shift,0.25497183980232474,0.2833687250223302,0.24045709228353193,0.1186062008889515,0.14992738606181982
2024-07-11_07,4,ridge,full_map,0.24852927314392903,0.35445327313104674,0.24045709228352916,0.12086212465237671,0.26041795176957905
2024-07-11_08,4,ridge,template,0.5847735761332821,0.6025525790841797,0.5847735761332821,0.1170393280193643,0.14529100184556967
2024-07-11_08,4,ridge,mean_shift,0.20356407496013457,0.23272398251067986,0.1817992761766171,0.1170393280193643,0.14529100184556967
2024-07-11_08,4,ridge,full_map,0.187903608725988,0.2982144557874395,0.18179927617661423,0.10390554443695553,0.23639138060060033
2024-07-11_09,4,ridge,template,0.7755994188299111,0.7903539749957151,0.7755994188299111,0.12115242676603871,0.1520031160938211
2024-07-11_09,4,ridge,mean_shift,0.12866659768356303,0.17500325147636975,0.08672479878944576,0.12115242676603871,0.1520031160938211
2024-07-11_09,4,ridge,full_map,0.1332337582401718,0.205879949138592,0.08672479878944872,0.10549788403717494,0.1867226893878697
2024-07-11_10,4,ridge,template,0.3016888415342899,0.3401610633778226,0.30004660984114745,0.1285878193714664,0.16025473771831297
2024-07-11_10,4,ridge,mean_shift,0.332357452768175,0.3632009070798702,0.32593453014750556,0.1285878193714664,0.16025473771831297
2024-07-11_10,4,ridge,full_map,0.3325621561488797,0.3916450197620715,0.3259345301475027,0.10888880356577019,0.21714627227277014
2024-07-11_01,4,pls,template,0.5712488957768305,0.6098267560842491,0.5712488957768305,0.15333889399196482,0.2134557835009164
2024-07-11_01,4,pls,mean_shift,0.22085963659059368,0.3071519991550099,0.22085963659059368,0.15333889399196482,0.2134557835009164
2024-07-11_01,4,pls,full_map,0.22093844780964278,0.4440430822058541,0.2208596365905948,0.1350046130538875,0.3852210790960761
2024-07-11_02,4,pls,template,0.6323983339790772,0.6537415480403725,0.6323983339790772,0.12395423688231601,0.1656814981061866
2024-07-11_02,4,pls,mean_shift,0.4050493869278441,0.43762468470749294,0.4050493869278441,0.12395423688231601,0.1656814981061866
2024-07-11_02,4,pls,full_map,0.4050493869278443,0.5081571746761104,0.4050493869278443,0.11821982099486716,0.3068529099164361
2024-07-11_03,4,pls,template,0.5803635025184032,0.5915931525919618,0.5803635025184032,0.0771130595666696,0.1147199334826673
2024-07-11_03,4,pls,mean_shift,0.15492134672937252,0.19118951955533103,0.15294694913443255,0.0771130595666696,0.1147199334826673
2024-07-11_03,4,pls,full_map,0.24730692767245452,0.5334731129270394,0.15294694913443416,0.20322409664505453,0.5110780693460975
2024-07-11_04,4,pls,template,0.25688372723750424,0.27586347032746517,0.25688372723750424,0.07079311650827755,0.10055548190765022
2024-07-11_04,4,pls,mean_shift,0.1687410391928462,0.19642625707645187,0.16873609432301254,0.07079311650827755,0.10055548190765022
2024-07-11_04,4,pls,full_map,0.18120608158432655,0.27523700662515066,0.1687360943230127,0.10672329984570199,0.21744778749986993
2024-07-11_05,4,pls,template,0.1916169701666016,0.21647899225273887,0.1907297946532346,0.07810085543013177,0.10239775152949565
2024-07-11_05,4,pls,mean_shift,0.2279590828008772,0.2499012664027806,0.2279590828008772,0.07810085543013201,0.10239775152949565
2024-07-11_05,4,pls,full_map,0.2911589887446905,0.4497644196441697,0.22795908280087826,0.2027908189540133,0.38771470148349957
2024-07-11_06,4,pls,template,0.1164702440914392,0.14837236037059515,0.08789604804339442,0.09623195869556747,0.11953510806576889
2024-07-11_06,4,pls,mean_shift,0.09863903594383867,0.12169436024282276,0.022822691660162965,0.09623195869556747,0.11953510806576889
2024-07-11_06,4,pls,full_map,0.12914644873128056,0.19305986817876877,0.022822691660162247,0.12652400647514345,0.19170612261111733
2024-07-11_07,4,pls,template,0.5103780705153041,0.5319436022307766,0.5103780705153041,0.1186062008889515,0.14992738606181982
2024-07-11_07,4,pls,mean_shift,0.11787201765761196,0.15012281286191193,0.007657535520169697,0.1186062008889515,0.14992738606181982
2024-07-11_07,4,pls,full_map,0.21894232278277131,0.3547978617813311,0.007657535520169138,0.21993198489522936,0.35471521658136096
2024-07-11_08,4,pls,template,0.5847735761332821,0.6025525790841797,0.5847735761332821,0.1170393280193643,0.14529100184556967
2024-07-11_08,4,pls,mean_shift,0.11584724409334712,0.14590195825638214,0.01333814851310885,0.1170393280193655,0.14529100184556967
2024-07-11_08,4,pls,full_map,0.2099225304385408,0.32942601838872326,0.01333814851310861,0.21077248911742974,0.3291558831096441
2024-07-11_09,4,pls,template,0.7755994188299111,0.7903539749957151,0.7755994188299111,0.12115242676603871,0.1520031160938211
2024-07-11_09,4,pls,mean_shift,0.34953449992834673,0.3791041363703664,0.3472967015548661,0.12115242676603871,0.1520031160938211
2024-07-11_09,4,pls,full_map,0.35452399117134203,0.38706090853870506,0.3472967015548672,0.13226116233748716,0.17088343397742609
2024-07-11_10,4,pls,template,0.3016888415342899,0.3401610633778226,0.30004660984114745,0.1285878193714664,0.16025473771831297
2024-07-11_10,4,pls,mean_shift,0.12951980485251122,0.16048971601360526,0.008681473663059089,0.1285878193714664,0.16025473771831297
2024-07-11_10,4,pls,full_map,0.22264525859512227,0.32809835339592847,0.008681473663059328,0.2213196277927854,0.32798347750482365
2024-07-11_01,4,gpr,template,0.5712488957768305,0.6098267560842491,0.5712488957768305,0.15333889399196482,0.2134557835009164
2024-07-11_01,4,gpr,mean_shift,0.14397914555705524,0.21694855885525838,0.03877248611300851,0.15333889399196265,0.21345578350091635
2024-07-11_01,4,gpr,full_map,0.11827843679753478,0.19064369912382562,0.03877248611300811,0.12621838499449275,0.18665935373356554
2024-07-11_02,4,gpr,template,0.6323983339790772,0.6537415480403725,0.6323983339790772,0.12395423688231601,0.1656814981061866
2024-07-11_02,4,gpr,mean_shift,0.15228654047265788,0.22294807152263396,0.14918271944481776,0.12395423688231433,0.16568149810618657
2024-07-11_02,4,gpr,full_map,0.14945160279450628,0.22550539403814812,0.1491827194448176,0.10819534743813164,0.1691070635998074
2024-07-11_03,4,gpr,template,0.5803635025184032,0.5915931525919618,0.5803635025184032,0.0771130595666696,0.1147199334826673
2024-07-11_03,4,gpr,mean_shift,0.09358571925498661,0.14329400383003774,0.08586331227815085,0.0771130595666696,0.1147199334826673
2024-07-11_03,4,gpr,full_map,0.09273002755180758,0.14186489706443503,0.08586331227815004,0.07434800216216945,0.1129298039656832
2024-07-11_04,4,gpr,template,0.25688372723750424,0.27586347032746517,0.25688372723750424,0.07079311650827755,0.10055548190765022
2024-07-11_04,4,gpr,mean_shift,0.06922854209752712,0.1012897101046415,0.01217375995338092,0.07079311650827755,0.10055548190765022
2024-07-11_04,4,gpr,full_map,0.05716442085505922,0.10638659964775639,0.012173759953379723,0.05919387838195633,0.10568778620639895
