held_out_lot,family,feature,feature_group,sensor_family,importance_metric,importance,coefficient_sign,rank,top_20
1,pls,Stat3_Etch_MV_ForeLinePressure__active_mean,G1_level,pressure,VIP,0.4753039678510961,-1,191,False
1,pls,Stat3_Etch_MV_ForeLinePressure__active_std,G1_level,pressure,VIP,1.2897217120711728,-1,42,False
1,pls,Stat3_Etch_MV_ForeLinePressure__active_range,G1_level,pressure,VIP,1.783117341444315,-1,18,True
1,pls,Stat3_Etch_MV_ForeLinePressure__active_slope,G2_temporal_drift,pressure,VIP,0.5107212079144978,-1,182,False
1,pls,Stat3_Etch_MV_ForeLinePressure__early_late_delta,G2_temporal_drift,pressure,VIP,0.3567010694327609,-1,215,False
1,pls,Stat3_Etch_MV_ForeLinePressure__long_phase_mean,G3_bosch_phase,pressure,VIP,0.628278676112157,-1,161,False
1,pls,Stat3_Etch_MV_ForeLinePressure__short_phase_mean,G3_bosch_phase,pressure,VIP,0.44258319598408996,1,196,False
1,pls,Stat3_Etch_MV_ForeLinePressure__phase_difference,G3_bosch_phase,pressure,VIP,0.8913073012730244,-1,89,False
1,pls,Stat3_Etch_MV_ForeLinePressure__cycle_mean_std,G4_cycle_behavior,pressure,VIP,0.8420929396902028,1,111,False
1,pls,Stat3_Etch_MV_ForeLinePressure__cycle_mean_slope,G4_cycle_behavior,pressure,VIP,0.5016400683042832,1,184,False
1,pls,Stat3_Etch_MV_Gas1Flow__active_mean,G1_level,gas_or_backside_flow,VIP,0.7138821981930858,-1,137,False
1,pls,Stat3_Etch_MV_Gas1Flow__active_std,G1_level,gas_or_backside_flow,VIP,0.8907685586512982,1,90,False
1,pls,Stat3_Etch_MV_Gas1Flow__active_range,G1_level,gas_or_backside_flow,VIP,0.2548629713196566,1,229,False
1,pls,Stat3_Etch_MV_Gas1Flow__active_slope,G2_temporal_drift,gas_or_backside_flow,VIP,0.8750010494132006,-1,102,False
1,pls,Stat3_Etch_MV_Gas1Flow__early_late_delta,G2_temporal_drift,gas_or_backside_flow,VIP,0.8825509014607208,-1,100,False
1,pls,Stat3_Etch_MV_Gas1Flow__long_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.45946000831495093,-1,193,False
1,pls,Stat3_Etch_MV_Gas1Flow__short_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.8479567093191299,1,108,False
1,pls,Stat3_Etch_MV_Gas1Flow__phase_difference,G3_bosch_phase,gas_or_backside_flow,VIP,0.883156143341409,-1,99,False
1,pls,Stat3_Etch_MV_Gas1Flow__cycle_mean_std,G4_cycle_behavior,gas_or_backside_flow,VIP,0.27445037487615054,1,226,False
1,pls,Stat3_Etch_MV_Gas1Flow__cycle_mean_slope,G4_cycle_behavior,gas_or_backside_flow,VIP,0.4337766009079078,1,198,False
1,pls,Stat3_Etch_MV_Gas2Flow__active_mean,G1_level,gas_or_backside_flow,VIP,0.5512154495412899,1,173,False
1,pls,Stat3_Etch_MV_Gas2Flow__active_std,G1_level,gas_or_backside_flow,VIP,1.5347230202466204,1,27,False
1,pls,Stat3_Etch_MV_Gas2Flow__active_range,G1_level,gas_or_backside_flow,VIP,1.459530273929313,1,33,False
1,pls,Stat3_Etch_MV_Gas2Flow__active_slope,G2_temporal_drift,gas_or_backside_flow,VIP,0.41025028147391324,1,204,False
1,pls,Stat3_Etch_MV_Gas2Flow__early_late_delta,G2_temporal_drift,gas_or_backside_flow,VIP,0.5266190528711461,1,178,False
1,pls,Stat3_Etch_MV_Gas2Flow__long_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.5505435265952136,1,174,False
1,pls,Stat3_Etch_MV_Gas2Flow__short_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.5527898644937084,1,170,False
1,pls,Stat3_Etch_MV_Gas2Flow__phase_difference,G3_bosch_phase,gas_or_backside_flow,VIP,0.20182927311187376,1,237,False
1,pls,Stat3_Etch_MV_Gas2Flow__cycle_mean_std,G4_cycle_behavior,gas_or_backside_flow,VIP,1.4018534718759033,1,38,False
1,pls,Stat3_Etch_MV_Gas2Flow__cycle_mean_slope,G4_cycle_behavior,gas_or_backside_flow,VIP,0.4176543622541362,1,200,False
1,pls,Stat3_Etch_MV_Gas4Flow__active_mean,G1_level,gas_or_backside_flow,VIP,0.8360485786021351,-1,112,False
1,pls,Stat3_Etch_MV_Gas4Flow__active_std,G1_level,gas_or_backside_flow,VIP,0.8579037673635546,-1,106,False
1,pls,Stat3_Etch_MV_Gas4Flow__active_slope,G2_temporal_drift,gas_or_backside_flow,VIP,0.6724223183598562,1,148,False
1,pls,Stat3_Etch_MV_Gas4Flow__early_late_delta,G2_temporal_drift,gas_or_backside_flow,VIP,0.434824790635494,1,197,False
1,pls,Stat3_Etch_MV_Gas4Flow__long_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.3628112677662065,1,213,False
1,pls,Stat3_Etch_MV_Gas4Flow__short_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.28516935653536674,1,223,False
1,pls,Stat3_Etch_MV_Gas4Flow__phase_difference,G3_bosch_phase,gas_or_backside_flow,VIP,0.28017620588410486,-1,224,False
1,pls,Stat3_Etch_MV_Gas4Flow__cycle_mean_std,G4_cycle_behavior,gas_or_backside_flow,VIP,0.8328393980493114,1,114,False
1,pls,Stat3_Etch_MV_Gas4Flow__cycle_mean_slope,G4_cycle_behavior,gas_or_backside_flow,VIP,0.4468225150334045,-1,195,False
1,pls,Stat3_Etch_MV_Gas5Flow__active_mean,G1_level,gas_or_backside_flow,VIP,0.7924135301791263,1,123,False
1,pls,Stat3_Etch_MV_Gas5Flow__active_std,G1_level,gas_or_backside_flow,VIP,0.7835950735418691,-1,125,False
1,pls,Stat3_Etch_MV_Gas5Flow__active_slope,G2_temporal_drift,gas_or_backside_flow,VIP,0.6338405264397416,-1,159,False
1,pls,Stat3_Etch_MV_Gas5Flow__early_late_delta,G2_temporal_drift,gas_or_backside_flow,VIP,0.38409336122492715,-1,206,False
1,pls,Stat3_Etch_MV_Gas5Flow__long_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.4316709540724882,-1,199,False
1,pls,Stat3_Etch_MV_Gas5Flow__short_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,0.37843200477412536,1,207,False
1,pls,Stat3_Etch_MV_Gas5Flow__phase_difference,G3_bosch_phase,gas_or_backside_flow,VIP,0.5142658595071326,-1,181,False
1,pls,Stat3_Etch_MV_Gas5Flow__cycle_mean_std,G4_cycle_behavior,gas_or_backside_flow,VIP,0.8032600987951929,1,120,False
1,pls,Stat3_Etch_MV_Gas5Flow__cycle_mean_slope,G4_cycle_behavior,gas_or_backside_flow,VIP,0.49949623440760393,1,186,False
1,pls,Stat3_Etch_MV_Gas7Flow__active_mean,G1_level,gas_or_backside_flow,VIP,1.0121176750937009,-1,68,False
1,pls,Stat3_Etch_MV_Gas7Flow__active_std,G1_level,gas_or_backside_flow,VIP,1.0272099303823399,1,66,False
1,pls,Stat3_Etch_MV_Gas7Flow__active_range,G1_level,gas_or_backside_flow,VIP,0.9233444210742136,-1,81,False
1,pls,Stat3_Etch_MV_Gas7Flow__active_slope,G2_temporal_drift,gas_or_backside_flow,VIP,0.4147003411956598,1,201,False
1,pls,Stat3_Etch_MV_Gas7Flow__early_late_delta,G2_temporal_drift,gas_or_backside_flow,VIP,0.46199158951822633,1,192,False
1,pls,Stat3_Etch_MV_Gas7Flow__long_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,1.0115251856073204,-1,69,False
1,pls,Stat3_Etch_MV_Gas7Flow__short_phase_mean,G3_bosch_phase,gas_or_backside_flow,VIP,1.013332746082522,-1,67,False
1,pls,Stat3_Etch_MV_Gas7Flow__phase_difference,G3_bosch_phase,gas_or_backside_flow,VIP,0.11479664014787766,-1,241,False
1,pls,Stat3_Etch_MV_Gas7Flow__cycle_mean_std,G4_cycle_behavior,gas_or_backside_flow,VIP,0.885215540286237,-1,96,False
1,pls,Stat3_Etch_MV_Gas7Flow__cycle_mean_slope,G4_cycle_behavior,gas_or_backside_flow,VIP,0.4122904841078557,1,202,False
1,pls,Stat3_Etch_MV_Heater1Temp__active_mean,G1_level,heater_temperature,VIP,0.6533666067416476,-1,154,False
1,pls,Stat3_Etch_MV_Heater1Temp__active_std,G1_level,heater_temperature,VIP,0.6867136561273885,-1,144,False
1,pls,Stat3_Etch_MV_Heater1Temp__active_slope,G2_temporal_drift,heater_temperature,VIP,0.27568971297957917,-1,225,False
1,pls,Stat3_Etch_MV_Heater1Temp__early_late_delta,G2_temporal_drift,heater_temperature,VIP,0.3148391931019568,-1,219,False
1,pls,Stat3_Etch_MV_Heater1Temp__long_phase_mean,G3_bosch_phase,heater_temperature,VIP,0.5744951030632954,-1,167,False
1,pls,Stat3_Etch_MV_Heater1Temp__short_phase_mean,G3_bosch_phase,heater_temperature,VIP,0.6999918768115994,-1,142,False
1,pls,Stat3_Etch_MV_Heater1Temp__phase_difference,G3_bosch_phase,heater_temperature,VIP,0.2905275064031555,1,222,False
1,pls,Stat3_Etch_MV_Heater1Temp__cycle_mean_std,G4_cycle_behavior,heater_temperature,VIP,0.20981030981286575,1,234,False
1,pls,Stat3_Etch_MV_Heater1Temp__cycle_mean_slope,G4_cycle_behavior,heater_temperature,VIP,0.29654911015004554,-1,221,False
1,pls,Stat3_Etch_MV_Heater2Temp__active_mean,G1_level,heater_temperature,VIP,0.6113224116412453,1,164,False
