ablation,held_out_lot,family,training_wafers,test_wafers,retained_features,mean_parameter,mean_fitted_model,mean_inner_lot_macro_mae,residual_parameter,residual_fitted_model,residual_inner_lot_macro_rmse,residual_components,residual_explained_variance,held_out_lot_mae
A_G1,1,pls,79,9,70,4,,0.11456208185938259,1,,0.1797994317689234,3,0.9637965610994957,0.16286092337060432
A_G1,2,pls,78,10,70,4,,0.11559060958219458,1,,0.19502072496583678,3,0.9230020070637441,0.10993051872000685
A_G1,3,pls,78,10,70,4,,0.10406425330029109,1,,0.15924734473635607,3,0.9563596473865388,0.14169206480551538
A_G1,4,pls,78,10,70,4,,0.11562337836333635,1,,0.19699479607704537,3,0.9240841919375616,0.13070146099284924
A_G1,5,pls,78,10,70,4,,0.10747719401621797,1,,0.19720099414361977,3,0.9217592453861796,0.12219245120354164
A_G1,6,pls,78,10,70,4,,0.11309109154225741,1,,0.1366330069114281,3,0.9352934206888084,0.1310608232634584
A_G1,7,pls,82,6,70,4,,0.10390586990552927,1,,0.19724388844976148,3,0.9226528933479736,0.13940305834833475
A_G1,8,pls,78,10,70,4,,0.10704313762091962,1,,0.19585382249310845,3,0.9264899355054267,0.17573994798358145
A_G1,9,pls,79,9,70,4,,0.11455019164375337,1,,0.19374665393873902,3,0.9225898105347882,0.11820828851165116
A_G1,10,pls,84,4,70,4,,0.11336001521578029,1,,0.19466461394356432,3,0.9243245451313368,0.09581063861954942
B_G1_G2,1,pls,79,9,120,4,,0.12467195015093761,1,,0.17822911505571803,3,0.9637965610994957,0.16606290715018682
B_G1_G2,2,pls,78,10,120,4,,0.12730719009908933,1,,0.194883489169845,3,0.9230020070637441,0.1000246787023745
B_G1_G2,3,pls,78,10,120,4,,0.12067115319189287,1,,0.15649324884175253,3,0.9563596473865388,0.15294255647474092
B_G1_G2,4,pls,78,10,120,4,,0.12680311818618634,1,,0.1955458719637336,3,0.9240841919375616,0.12880056094104558
B_G1_G2,5,pls,78,10,120,4,,0.11572340971313262,1,,0.19491240570019192,3,0.9217592453861796,0.14370442738708564
B_G1_G2,6,pls,78,10,120,4,,0.12447707676307902,1,,0.1367594014985095,3,0.9352934206888084,0.1424849953132992
B_G1_G2,7,pls,82,6,120,4,,0.11572208508152221,1,,0.1949032734791438,3,0.9226528933479736,0.13434345542374684
B_G1_G2,8,pls,78,10,120,4,,0.10779795525707371,1,,0.19282816763135363,3,0.9264899355054267,0.25033695498490294
B_G1_G2,9,pls,79,9,120,4,,0.12784143723759347,1,,0.19300385528381808,3,0.9225898105347882,0.10316199857173698
B_G1_G2,10,pls,84,4,120,4,,0.12289338374040842,1,,0.19260312975422605,3,0.9243245451313368,0.10862370068537754
C_G1_G2_G3,1,pls,79,9,193,4,,0.11661716310327466,1,,0.17839373226132688,3,0.9637965610994957,0.1656330011454818
C_G1_G2_G3,2,pls,78,10,193,4,,0.11405062631761233,1,,0.19582086908395635,3,0.9230020070637441,0.10465854568042898
C_G1_G2_G3,3,pls,78,10,193,4,,0.11460912223667824,1,,0.15844226495058122,3,0.9563596473865388,0.13764014938151334
C_G1_G2_G3,4,pls,78,10,193,4,,0.12040855881935153,1,,0.1970916932900977,3,0.9240841919375616,0.14029616655920846
C_G1_G2_G3,5,pls,78,10,193,4,,0.10879738517175212,1,,0.19777826946321048,3,0.9217592453861796,0.12650669318529167
C_G1_G2_G3,6,pls,78,10,193,4,,0.10996901627869107,1,,0.1358976260952245,3,0.9352934206888084,0.14207867336271032
C_G1_G2_G3,7,pls,82,6,193,4,,0.11078548435513735,1,,0.19709569676598926,3,0.9226528933479736,0.1137110308871417
C_G1_G2_G3,8,pls,78,10,193,4,,0.11017498737131884,1,,0.19594829764104907,3,0.9264899355054267,0.2081151361175412
C_G1_G2_G3,9,pls,79,9,193,4,,0.12410387309174682,1,,0.195502690164673,3,0.9225898105347882,0.10458824631369104
C_G1_G2_G3,10,pls,84,4,193,4,,0.11483776498089274,1,,0.19457793316160277,3,0.9243245451313368,0.11164532224151229
D_all,1,pls,79,9,241,4,,0.12417187075038082,1,,0.17801566415624226,3,0.9637965610994957,0.1632616167475257
D_all,2,pls,78,10,241,4,,0.12236676101735267,1,,0.1961824972632158,3,0.9230020070637441,0.10482700756630539
D_all,3,pls,78,10,241,4,,0.12528734045057163,1,,0.15837954533322052,3,0.9563596473865388,0.14133134129026187
D_all,4,pls,78,10,241,4,,0.12456238097282167,1,,0.19682012784788816,3,0.9240841919375616,0.14558216783238448
D_all,5,pls,78,10,241,4,,0.11815423983617628,1,,0.19682531691434318,3,0.9217592453861796,0.1472462218960636
D_all,6,pls,78,10,241,4,,0.11612810436572062,1,,0.13509801148705824,3,0.9352934206888084,0.15170838434026573
D_all,7,pls,82,6,241,4,,0.11819080487574893,1,,0.1961229115683903,3,0.9226528933479736,0.12948488604417083
D_all,8,pls,78,10,241,4,,0.11003240589285415,1,,0.19530861808374048,3,0.9264899355054267,0.2470046884890146
D_all,9,pls,79,9,241,4,,0.1337462134647941,1,,0.195364007170654,3,0.9225898105347882,0.08957749572447743
D_all,10,pls,84,4,241,4,,0.12592228460713106,1,,0.19416883353186734,3,0.9243245451313368,0.10137289310385034
family_only__gas_or_backside_flow,1,pls,79,9,58,1,,0.32179188436009454,1,,0.20747607294076234,3,0.9637965610994957,0.28601623481515737
