held_out_lot,family,training_wafers,test_wafers,retained_features,mean_parameter,mean_inner_lot_macro_mae,residual_parameter,residual_inner_lot_macro_rmse,residual_components,residual_explained_variance
1,ridge,79,9,241,100.0,0.13054629792687555,1000.0,0.18323455684345136,3,0.9637965610994957
1,pls,79,9,241,4.0,0.12087227450977606,1.0,0.17754770841744633,3,0.9637965610994957
2,ridge,78,10,241,10.0,0.12059916780357884,1000.0,0.19392999918877563,3,0.9230020070637441
2,pls,78,10,241,4.0,0.11911840683187631,1.0,0.1951642468101608,3,0.9230020070637441
3,ridge,78,10,241,10.0,0.10962196036847993,1000.0,0.15747515275387516,3,0.9563596473865388
3,pls,78,10,241,4.0,0.12259693983914453,1.0,0.15666667079186722,3,0.9563596473865388
4,ridge,78,10,241,100.0,0.12935260045194205,1000.0,0.19700662503033117,3,0.9240841919375616
4,pls,78,10,241,4.0,0.12251286644727137,1.0,0.19539093742570668,3,0.9240841919375616
5,ridge,78,10,241,10.0,0.12015500234368447,1000.0,0.19476650053880712,3,0.9217592453861796
5,pls,78,10,241,4.0,0.11394991393282908,1.0,0.19566424636702776,3,0.9217592453861796
6,ridge,78,10,241,100.0,0.12086722117546131,1000.0,0.13876486706938096,3,0.9352934206888084
6,pls,78,10,241,4.0,0.11180652711789014,1.0,0.135278066681772,3,0.9352934206888084
7,ridge,82,6,241,10.0,0.10488004137862239,1000.0,0.19650815820884812,3,0.9226528933479736
7,pls,82,6,241,4.0,0.11553055346884099,1.0,0.19501455725030653,3,0.9226528933479736
8,ridge,78,10,241,100.0,0.11246946028669098,1000.0,0.19546588585449642,3,0.9264899355054267
8,pls,78,10,241,4.0,0.10759896050092708,1.0,0.1935915993068876,3,0.9264899355054267
9,ridge,79,9,241,100.0,0.13499349285725082,1000.0,0.19543909031815293,3,0.9225898105347882
9,pls,79,9,241,4.0,0.13063804648140773,1.0,0.19379719195968304,3,0.9225898105347882
10,ridge,84,4,241,100.0,0.12698416885483488,1000.0,0.19438675707720765,3,0.9243245451313368
10,pls,84,4,241,4.0,0.12294787510618096,1.0,0.19269110286034385,3,0.9243245451313368
