experiment_key,lot_number,family,stage,mae,rmse,mean_error
2024-07-02_01,1,ridge,template,0.6920004835727498,0.7504100949033217,-0.6853522969705637
2024-07-02_01,1,ridge,mean_shift,0.2527733130374398,0.313467010256999,0.06967084719931904
2024-07-02_01,1,ridge,full_map,0.16191021091127472,0.24275409792522895,0.06967084719931194
2024-07-02_02,1,ridge,template,0.43630285876831243,0.5019599017769464,-0.43630285876831465
2024-07-02_02,1,ridge,mean_shift,0.2009875165816987,0.24888897953878975,-0.018497721841896464
2024-07-02_02,1,ridge,full_map,0.17586991574647048,0.21000848999049274,-0.01849772184190357
2024-07-02_03,1,ridge,template,0.5500478025885371,0.6107820924948041,-0.5500478025885371
2024-07-02_03,1,ridge,mean_shift,0.23044017010120327,0.2935652847497344,-0.12521340595296238
2024-07-02_03,1,ridge,full_map,0.21800516302985248,0.2723364364707903,-0.12521340595296238
2024-07-02_04,1,ridge,template,0.317329554828617,0.38649659737790293,-0.3114208362963993
2024-07-02_04,1,ridge,mean_shift,0.20020874119006135,0.24864640011485148,-0.0970996899322003
2024-07-02_04,1,ridge,full_map,0.19098844081119884,0.2359852825140591,-0.0970996899322003
2024-07-02_05,1,ridge,template,0.20160459394111668,0.25271319665173775,0.15919489404067377
2024-07-02_05,1,ridge,mean_shift,0.16659515727902663,0.19627605227959974,0.0018284488361217655
2024-07-02_05,1,ridge,full_map,0.1728291952683728,0.21117882386409473,0.0018284488361217655
2024-07-02_06,1,ridge,template,0.15854157303370744,0.19078947664892776,0.001569051344048944
2024-07-02_06,1,ridge,mean_shift,0.16584949414269448,0.1979494942753025,-0.05278105537023947
2024-07-02_06,1,ridge,full_map,0.1647327776265943,0.19505542249853153,-0.05278105537023947
2024-07-02_08,1,ridge,template,0.4813634333665187,0.49634943383118935,0.48136343336651777
2024-07-02_08,1,ridge,mean_shift,0.10948233851378375,0.1501963493406752,0.08892096419364037
2024-07-02_08,1,ridge,full_map,0.1157684453562802,0.1517714334675362,0.08892096419363327
2024-07-02_09,1,ridge,template,0.24446711705304955,0.2911404591089917,0.240388152467645
2024-07-02_09,1,ridge,mean_shift,0.13373631044405324,0.17082524366486593,0.046957010017386835
2024-07-02_09,1,ridge,full_map,0.13316389578716709,0.1589952622598354,0.04695701001737973
2024-07-02_10,1,ridge,template,0.2973862181766453,0.32790199266279885,0.2954712985350625
2024-07-02_10,1,ridge,mean_shift,0.13994126754344233,0.18695055144036987,0.1213840193337603
2024-07-02_10,1,ridge,full_map,0.13708587148260284,0.17646584024259832,0.1213840193337603
2024-07-02_01,1,pls,template,0.6920004835727498,0.7504100949033217,-0.6853522969705637
2024-07-02_01,1,pls,mean_shift,0.25618651449228386,0.3151965493292825,0.07707999182080982
