lot_number,policy,aurc,random_p025,random_p975
1,random,0.16211757146291492,0.13946077424675696,0.18488376029304712
1,periodic,0.16703552991820395,,
1,ood,0.15675878693157103,,
1,delta,0.16280870407561965,,
1,ewma,0.14978957272246812,,
1,disagreement,0.1712261192532111,,
1,combined,0.1581486790491815,,
1,oracle,0.13002599650076008,,
2,random,0.10251650641892722,0.0828453168611035,0.13009989251282933
2,periodic,0.08681111740828241,,
2,ood,0.08892457294535432,,
2,delta,0.09437741546971504,,
2,ewma,0.09295358800598853,,
2,disagreement,0.08381496148496148,,
2,combined,0.09502542219310174,,
2,oracle,0.07536005368298866,,
3,random,0.14332141209552646,0.10626956206733842,0.18891797642298053
3,periodic,0.11787295312949256,,
3,ood,0.12508593995785472,,
3,delta,0.12195510850811425,,
3,ewma,0.13582821609749268,,
3,disagreement,0.12164436129906919,,
3,combined,0.11717917616960045,,
3,oracle,0.0932529276250945,,
4,random,0.13584218738272108,0.09587258167264984,0.18731876337649547
4,periodic,0.14054464219097074,,
4,ood,0.1489949472544828,,
4,delta,0.12639729886431764,,
4,ewma,0.11861984729898471,,
4,disagreement,0.12857691056455609,,
4,combined,0.1139791302625899,,
4,oracle,0.07938742583458949,,
5,random,0.14509704342864999,0.11581672484560358,0.17578417498306145
5,periodic,0.14609239360897064,,
5,ood,0.13920297342555066,,
5,delta,0.12790715405269681,,
5,ewma,0.14221652547433147,,
5,disagreement,0.1333607455900573,,
5,combined,0.14400648139319527,,
5,oracle,0.10195425032768404,,
6,random,0.15088975136717817,0.09890339593077305,0.21489170618881012
6,periodic,0.16052201039181493,,
6,ood,0.1333931162335128,,
6,delta,0.15782520499888936,,
6,ewma,0.12309579324824993,,
6,disagreement,0.1678750502239809,,
6,combined,0.1454911249280502,,
6,oracle,0.08268555128750439,,
7,random,0.12847764131274794,0.09276351797922645,0.1621787306844777
7,periodic,0.09506411908357974,,
7,ood,0.10716057413080068,,
7,delta,0.10798968638476869,,
7,ewma,0.12054684085579734,,
7,disagreement,0.1075146312214152,,
7,combined,0.10716057413080068,,
7,oracle,0.08771556151223789,,
8,random,0.2372116917013219,0.11802708072002979,0.38880319354967796
8,periodic,0.2090737443507483,,
8,ood,0.14482566566317495,,
8,delta,0.19280556980766753,,
8,ewma,0.2475762565201164,,
8,disagreement,0.14217567064317435,,
8,combined,0.1451615609491916,,
8,oracle,0.08131192063465777,,
9,random,0.09196895942853209,0.07460688480816437,0.1085537594366566
9,periodic,0.10155207245724536,,
9,ood,0.10639859673152031,,
9,delta,0.08444239751226963,,
9,ewma,0.07924000906882832,,
9,disagreement,0.08748659756653135,,
9,combined,0.08435379333813608,,
9,oracle,0.06724939623850987,,
10,random,0.09939650911127969,0.07727554257459053,0.12349803183498959
10,periodic,0.09164394618690848,,
10,ood,0.12349803183498959,,
10,delta,0.12349803183498959,,
10,ewma,0.12349803183498959,,
10,disagreement,0.12349803183498959,,
10,combined,0.12349803183498959,,
10,oracle,0.07727554257459053,,
