lot_number,policy,requested_budget,selected_wafers,actual_metrology_fraction,retained_mae,random_p025,random_p975
1,random,0.0,0,0.0,0.16223058094451556,0.16223058094451556,0.16223058094451556
1,random,0.1,1,0.1111111111111111,0.16210122773315064,0.15242484558668154,0.1720098579239454
1,random,0.2,2,0.2222222222222222,0.16207834920201258,0.14580015652530257,0.178665639633006
1,random,0.3,3,0.3333333333333333,0.16213318303873314,0.14082975391127783,0.1817614463538355
1,random,0.4,4,0.4444444444444444,0.16206748201985702,0.13874472107089653,0.18674466391287925
1,random,0.5,4,0.4444444444444444,0.16206748201985702,0.13874472107089653,0.18674466391287925
1,random,0.6,5,0.5555555555555556,0.16203041078342312,0.131587977234061,0.19158790578653936
1,random,0.7,6,0.6666666666666666,0.16214878370419797,0.12316885012587571,0.20356145607463164
1,random,0.8,7,0.7777777777777778,0.16202235549766184,0.1047078755347991,0.21973706641176105
1,random,0.9,8,0.8888888888888888,0.162486978504051,0.08399636510907686,0.2406764638071879
1,periodic,0.0,0,0.0,0.16223058094451556,,
1,periodic,0.1,1,0.1111111111111111,0.16484520535543068,,
1,periodic,0.2,2,0.2222222222222222,0.17047746526898913,,
1,periodic,0.3,3,0.3333333333333333,0.16961994744557884,,
1,periodic,0.4,4,0.4444444444444444,0.16314044722748877,,
1,periodic,0.5,4,0.4444444444444444,0.16314044722748877,,
1,periodic,0.6,5,0.5555555555555556,0.1732617139393021,,
1,periodic,0.7,6,0.6666666666666666,0.16367646907372638,,
1,periodic,0.8,7,0.7777777777777778,0.16233641445813238,,
1,periodic,0.9,8,0.8888888888888888,0.1756225722094509,,
1,ood,0.0,0,0.0,0.16223058094451556,,
1,ood,0.1,1,0.1111111111111111,0.16110812413753345,,
1,ood,0.2,2,0.2222222222222222,0.16393591534901034,,
1,ood,0.3,3,0.3333333333333333,0.16145150928565444,,
1,ood,0.4,4,0.4444444444444444,0.14560651838134775,,
1,ood,0.5,4,0.4444444444444444,0.14560651838134775,,
1,ood,0.6,5,0.5555555555555556,0.16100905669941545,,
1,ood,0.7,6,0.6666666666666666,0.16661320906210214,,
1,ood,0.8,7,0.7777777777777778,0.15052097908498613,,
1,ood,0.9,8,0.8888888888888888,0.12541938596052132,,
1,delta,0.0,0,0.0,0.16223058094451556,,
1,delta,0.1,1,0.1111111111111111,0.16484520535543068,,
1,delta,0.2,2,0.2222222222222222,0.16393591534901034,,
1,delta,0.3,3,0.3333333333333333,0.16722580130528616,,
1,delta,0.4,4,0.4444444444444444,0.1655464471244532,,
1,delta,0.5,4,0.4444444444444444,0.1655464471244532,,
1,delta,0.6,5,0.5555555555555556,0.16222247097328008,,
1,delta,0.7,6,0.6666666666666666,0.13607114002864412,,
1,delta,0.8,7,0.7777777777777778,0.16210852748842774,,
1,delta,0.9,8,0.8888888888888888,0.1987976690163342,,
1,ewma,0.0,0,0.0,0.16223058094451556,,
1,ewma,0.1,1,0.1111111111111111,0.16484520535543068,,
1,ewma,0.2,2,0.2222222222222222,0.16393591534901034,,
1,ewma,0.3,3,0.3333333333333333,0.15114582393931408,,
1,ewma,0.4,4,0.4444444444444444,0.14625047428528676,,
1,ewma,0.5,4,0.4444444444444444,0.14625047428528676,,
1,ewma,0.6,5,0.5555555555555556,0.14676394295376957,,
1,ewma,0.7,6,0.6666666666666666,0.12941936759958136,,
1,ewma,0.8,7,0.7777777777777778,0.15213086884483362,,
1,ewma,0.9,8,0.8888888888888888,0.12541938596052132,,
1,disagreement,0.0,0,0.0,0.16223058094451556,,
1,disagreement,0.1,1,0.1111111111111111,0.1644848286111606,,
1,disagreement,0.2,2,0.2222222222222222,0.17598318054002968,,
1,disagreement,0.3,3,0.3333333333333333,0.1760432819284595,,
1,disagreement,0.4,4,0.4444444444444444,0.17700989123407682,,
1,disagreement,0.5,4,0.4444444444444444,0.17700989123407682,,
1,disagreement,0.6,5,0.5555555555555556,0.18593396762829734,,
1,disagreement,0.7,6,0.6666666666666666,0.16768646890200048,,
1,disagreement,0.8,7,0.7777777777777778,0.15213086884483362,,
1,disagreement,0.9,8,0.8888888888888888,0.1788423517291459,,
1,combined,0.0,0,0.0,0.16223058094451556,,
1,combined,0.1,1,0.1111111111111111,0.16110812413753345,,
1,combined,0.2,2,0.2222222222222222,0.16393591534901034,,
1,combined,0.3,3,0.3333333333333333,0.16722580130528616,,
1,combined,0.4,4,0.4444444444444444,0.15253566880490582,,
1,combined,0.5,4,0.4444444444444444,0.15253566880490582,,
1,combined,0.6,5,0.5555555555555556,0.14676394295376957,,
1,combined,0.7,6,0.6666666666666666,0.16768646890200048,,
1,combined,0.8,7,0.7777777777777778,0.16210852748842774,,
1,combined,0.9,8,0.8888888888888888,0.12541938596052132,,
1,oracle,0.0,0,0.0,0.16223058094451556,,
1,oracle,0.1,1,0.1111111111111111,0.15242484558668154,,
1,oracle,0.2,2,0.2222222222222222,0.14580015652530257,,
