experiment_key,lot_number,true_pls_mae,ood_percentile,delta_percentile,ewma_percentile,disagreement_percentile,combined_risk
2024-07-02_01,1,0.14131358565719482,0.7721518987341772,0.7721518987341772,0.8354430379746836,0.6582278481012658,0.759493670886076
2024-07-02_02,1,0.1712102354003728,0.8481012658227848,0.7721518987341772,0.8227848101265823,0.7468354430379747,0.7974683544303798
2024-07-02_03,1,0.2406764638071879,0.5443037974683544,0.3291139240506329,0.569620253164557,0.620253164556962,0.5158227848101267
2024-07-02_04,1,0.1987976690163342,0.0759493670886076,0.0,0.3291139240506329,0.5316455696202531,0.2341772151898734
2024-07-02_05,1,0.1756225722094509,0.02531645569620253,0.4430379746835443,0.5189873417721519,0.8354430379746836,0.45569620253164556
2024-07-02_06,1,0.1788423517291459,0.6455696202531646,0.4050632911392405,0.05063291139240506,0.31645569620253167,0.35443037974683544
2024-07-02_08,1,0.08399636510907686,0.31645569620253167,0.3291139240506329,0.16455696202531644,0.8860759493670886,0.4240506329113924
2024-07-02_09,1,0.14419659961135547,0.22784810126582278,0.620253164556962,0.43037974683544306,0.8987341772151899,0.5443037974683544
2024-07-02_10,1,0.12541938596052132,0.02531645569620253,0.10126582278481013,0.02531645569620253,0.4050632911392405,0.13924050632911392
2024-07-05_01,2,0.23724103858774231,0.7948717948717948,0.7692307692307693,0.8461538461538461,1.0,0.8525641025641025
2024-07-05_02,2,0.10174181211561047,0.6794871794871795,0.7307692307692307,0.7435897435897436,0.8589743589743589,0.7532051282051282
2024-07-05_03,2,0.0872193113390311,0.717948717948718,0.0641025641025641,0.6282051282051282,0.3333333333333333,0.43589743589743585
2024-07-05_04,2,0.05832675486584621,0.38461538461538464,0.47435897435897434,0.7435897435897436,0.6666666666666666,0.5673076923076923
2024-07-05_05,2,0.09908072392662372,0.5128205128205128,0.46153846153846156,0.3974358974358974,0.9230769230769231,0.5737179487179487
2024-07-05_06,2,0.0827436019778853,0.2564102564102564,0.19230769230769232,0.11538461538461539,0.8974358974358975,0.3653846153846154
2024-07-05_07,2,0.1284942156863001,0.358974358974359,0.10256410256410256,0.038461538461538464,0.7051282051282052,0.3012820512820513
2024-07-05_08,2,0.05975307408137545,0.5641025641025641,0.5384615384615384,0.3333333333333333,0.6794871794871795,0.5288461538461539
2024-07-05_09,2,0.08683003089465789,0.5769230769230769,0.358974358974359,0.08974358974358974,1.0,0.5064102564102564
2024-07-05_10,2,0.08406025414290975,0.07692307692307693,0.2564102564102564,0.0,0.9230769230769231,0.3141025641025641
2024-07-09_01,3,0.1979581568416457,0.9487179487179487,0.7564102564102564,0.7564102564102564,0.9871794871794872,0.8621794871794872
2024-07-09_02,3,0.18896325164885433,0.16666666666666666,0.7564102564102564,0.7564102564102564,0.9743589743589743,0.6634615384615384
2024-07-09_03,3,0.1737683080556334,0.24358974358974358,0.5,0.6282051282051282,0.9615384615384616,0.5833333333333334
2024-07-09_04,3,0.06303068334561657,0.3333333333333333,0.15384615384615385,0.2692307692307692,0.6025641025641025,0.33974358974358976
2024-07-09_05,3,0.10805655847789121,0.5128205128205128,0.8974358974358975,0.9358974358974359,0.8333333333333334,0.7948717948717948
2024-07-09_06,3,0.082727859537172,0.1794871794871795,0.8846153846153846,0.2948717948717949,0.47435897435897434,0.45833333333333337
2024-07-09_07,3,0.09042464983238238,0.38461538461538464,0.038461538461538464,0.23076923076923078,0.21794871794871795,0.21794871794871798
2024-07-09_08,3,0.08638971135441513,0.3333333333333333,0.038461538461538464,0.07692307692307693,0.28205128205128205,0.1826923076923077
2024-07-09_09,3,0.09830874917088646,0.07692307692307693,0.32051282051282054,0.15384615384615385,0.6538461538461539,0.3012820512820513
2024-07-09_10,3,0.34253050967562526,0.6794871794871795,0.47435897435897434,0.16666666666666666,0.5128205128205128,0.4583333333333333
2024-07-11_01,4,0.10118851580368039,0.8461538461538461,0.34615384615384615,0.2948717948717949,0.21794871794871795,0.4262820512820513
2024-07-11_02,4,0.2300804645802845,0.3974358974358974,0.5,0.5256410256410257,0.11538461538461539,0.3846153846153846
