experiment_key,group_name,time_samples,wavelengths,wavelength_min_nm,wavelength_max_nm,median_step_seconds,effective_sample_rate_hz,maximum_gap_seconds,oes_duration_seconds,process_regular_duration_seconds,duration_difference_seconds,process_active_start_elapsed_seconds,process_active_end_elapsed_seconds,minimum_dictionary_code,maximum_dictionary_code,dictionary_size,wavelength_axis_matches,active_window_covered,passes_integrity_gate,has_direct_89_point_target
2024-07-11_01,Wafer_01,14772,3648,185.89122009277344,883.9669552284213,0.04265308380126953,23.444963666852992,0.19823694229125977,649.2381229400635,649.0,0.23812294006347656,30.0,628.0,75,61426,61443,True,True,True,True
2024-07-11_02,Wafer_02,14655,3648,185.89122009277344,883.9669552284213,0.04304802417755127,23.22986987452681,0.20395398139953613,648.4049761295319,648.8099999427795,-0.40502381324768066,30.0,628.0,58,61400,61443,True,True,True,True
2024-07-11_03,Wafer_03,14421,3648,185.89122009277344,883.9669552284213,0.042992472648620605,23.25988570541277,0.1732499599456787,638.8142240047455,638.5999999046326,0.21422410011291504,15.599999904632568,617.5999999046326,91,61215,61443,True,True,True,True
2024-07-11_04,Wafer_04,14826,3648,185.89122009277344,883.9669552284213,0.042405128479003906,23.582053300348587,0.24586105346679688,648.6824419498444,649.0,-0.31755805015563965,30.0,628.0,31,61338,61443,True,True,True,True
2024-07-11_05,Wafer_05,14477,3648,185.89122009277344,883.9669552284213,0.04263103008270264,23.45709212421179,0.3589189052581787,637.8785932064056,638.6000001430511,-0.7214069366455078,15.400000095367432,617.6000001430511,60,58391,61443,True,True,True,True
2024-07-11_06,Wafer_06,14966,3648,185.89122009277344,883.9669552284213,0.04200291633605957,23.807870672577522,0.20235204696655273,648.7183079719543,649.0,-0.2816920280456543,30.0,628.0,33,61367,61443,True,True,True,True
2024-07-11_07,Wafer_07,14924,3648,185.89122009277344,883.9669552284213,0.04277396202087402,23.37870874603555,0.16010808944702148,659.3071300983429,659.3999998569489,-0.09286975860595703,43.39999985694885,638.3999998569489,173,61393,61443,True,True,True,True
2024-07-11_08,Wafer_08,15245,3648,185.89122009277344,883.9669552284213,0.04167747497558594,23.993776028557047,0.1478590965270996,659.3346920013428,659.3999998569489,-0.0653078556060791,43.39999985694885,638.3999998569489,167,61368,61443,True,True,True,True
2024-07-11_09,Wafer_09,15289,3648,185.89122009277344,883.9669552284213,0.04244184494018555,23.561652454301345,0.14136791229248047,669.5053310394287,669.7999999523163,-0.29466891288757324,56.799999952316284,648.7999999523163,15,61270,61443,True,True,True,True
2024-07-11_10,Wafer_10,14549,3648,185.89122009277344,883.9669552284213,0.04218745231628418,23.70373049557212,0.26138901710510254,637.9740540981293,638.5999999046326,-0.6259458065032959,15.599999904632568,617.5999999046326,193,59182,61443,True,True,True,True
