experiment_key,oes_samples,aligned_active_samples,aligned_long_phase_samples,aligned_short_phase_samples,aligned_cycles,nearest_time_offset_median_seconds,nearest_time_offset_maximum_seconds
2024-07-05_01,15046,13901,9994,2986,100,0.04987800121307373,0.09999918937683105
2024-07-05_02,15103,13940,10005,3023,100,0.050234079360961914,0.09999799728393555
2024-07-05_03,15192,14013,10063,3013,100,0.0498429536819458,0.09998297691345215
2024-07-05_04,15378,13868,9953,2990,99,0.050094008445739746,0.1048891544342041
2024-07-05_05,15061,13895,9956,3018,100,0.0500638484954834,0.09999680519104004
2024-07-05_06,15065,13875,9962,3001,100,0.049909114837646484,0.09999608993530273
2024-07-05_07,14869,13737,9864,2963,100,0.05018305778503418,0.15167498588562012
2024-07-05_08,15186,13766,9877,2991,99,0.05015754699707031,0.10500001907348633
2024-07-05_09,13871,12900,9281,2751,100,0.05032491683959961,0.09999799728393555
2024-07-05_10,14968,13798,9913,2974,100,0.04989445209503174,0.27989912033081055
