experiment_key,oes_samples,aligned_active_samples,aligned_long_phase_samples,aligned_short_phase_samples,aligned_cycles,nearest_time_offset_median_seconds,nearest_time_offset_maximum_seconds
2024-07-05_01,15046,13901,9994,2986,100,0.04987800121307373,0.09999918937683105
2024-07-05_02,15103,13940,10005,3023,100,0.050234079360961914,0.09999799728393555
2024-07-05_03,15192,14013,10063,3013,100,0.0498429536819458,0.09998297691345215
2024-07-05_04,15378,13868,9953,2990,99,0.050094008445739746,0.1048891544342041
2024-07-05_05,15061,13895,9956,3018,100,0.0500638484954834,0.09999680519104004
2024-07-05_06,15065,13875,9962,3001,100,0.049909114837646484,0.09999608993530273
2024-07-05_07,14869,13737,9864,2963,100,0.05018305778503418,0.15167498588562012
2024-07-05_08,15186,13766,9877,2991,99,0.05015754699707031,0.10500001907348633
2024-07-05_09,13871,12900,9281,2751,100,0.05032491683959961,0.09999799728393555
2024-07-05_10,14968,13798,9913,2974,100,0.04989445209503174,0.27989912033081055
2024-07-11_01,14772,13616,9807,2927,100,0.049558043479919434,0.23812294006347656
2024-07-11_02,14655,13483,9667,2921,100,0.05005693435668945,0.10497713088989258
2024-07-11_03,14421,13597,9729,2971,100,0.04987812042236328,0.21422410011291504
2024-07-11_04,14826,13689,9819,2962,100,0.049895524978637695,0.09998893737792969
2024-07-11_05,14477,13662,9773,2980,100,0.04983711242675781,0.09999704360961914
2024-07-11_06,14966,13795,9897,2982,100,0.05007600784301758,0.09999895095825195
2024-07-11_07,14924,13424,9641,2883,99,0.050052642822265625,0.09997081756591797
2024-07-11_08,15245,13763,9833,3014,99,0.04993104934692383,0.09999799728393555
2024-07-11_09,15289,13549,9717,2933,99,0.05028200149536133,0.10448884963989258
2024-07-11_10,14549,13734,9815,3011,100,0.05054020881652832,0.0999917984008789
2024-08-01_01,15153,13714,9821,2973,99,0.0499880313873291,0.09999394416809082
2024-08-01_02,14869,13708,9808,2997,100,0.05034899711608887,0.10350918769836426
2024-08-01_03,13943,12792,9172,2766,100,0.05039191246032715,0.20266008377075195
2024-08-01_04,14985,13832,9941,2976,100,0.049942970275878906,0.09998798370361328
2024-08-01_05,15060,13944,10035,2994,100,0.04996800422668457,0.09997892379760742
2024-08-01_06,14916,13488,9655,2940,99,0.05002748966217041,0.3803989887237549
2024-08-01_07,15050,13627,9783,2940,99,0.04998445510864258,0.09999608993530273
2024-08-01_08,15141,13952,10022,3001,100,0.05010700225830078,0.09999299049377441
2024-08-01_09,15238,14048,10079,3025,100,0.049959659576416016,0.09999990463256836
2024-08-01_10,15346,14154,10159,3051,100,0.05012154579162598,0.09999418258666992
2024-08-21_01,14703,13569,9745,2930,100,0.05015897750854492,0.14867401123046875
2024-08-21_02,14667,13533,9735,2903,100,0.049691200256347656,0.0999901294708252
2024-08-21_03,14747,13634,9782,2953,100,0.04994821548461914,0.09998917579650879
2024-08-21_04,14617,13502,9701,2894,100,0.04992103576660156,0.0999910831451416
2024-08-21_05,14359,13235,9476,2869,100,0.049833059310913086,0.09998798370361328
2024-08-21_06,14928,13519,9679,2931,99,0.04964399337768555,0.09999513626098633
2024-08-21_07,14583,13457,9684,2876,100,0.05029916763305664,0.0999901294708252
2024-08-21_08,14750,13599,9739,2963,100,0.049813032150268555,0.10496878623962402
2024-08-21_09,14464,13645,9760,2985,100,0.05003643035888672,0.09998822212219238
2024-08-21_10,14849,13715,9848,2965,100,0.049916982650756836,0.10492324829101562
