experiment_key,normalized_spectral_summaries,aligned_cycles,active_broadband_median
2024-07-05_01,6,100,
2024-07-05_02,6,100,
2024-07-05_03,6,100,
2024-07-05_04,6,99,
2024-07-05_05,6,100,
2024-07-05_06,6,100,
2024-07-05_07,6,100,
2024-07-05_08,6,99,
2024-07-05_09,6,100,
2024-07-05_10,6,100,
2024-07-11_01,6,100,
2024-07-11_02,6,100,
2024-07-11_03,6,100,
2024-07-11_04,6,100,
2024-07-11_05,6,100,
2024-07-11_06,6,100,
2024-07-11_07,6,99,
2024-07-11_08,6,99,
2024-07-11_09,6,99,
2024-07-11_10,6,100,
2024-08-01_01,6,99,
2024-08-01_02,6,100,
2024-08-01_03,6,100,
2024-08-01_04,6,100,
2024-08-01_05,6,100,
2024-08-01_06,6,99,
2024-08-01_07,6,99,
2024-08-01_08,6,100,
2024-08-01_09,6,100,
2024-08-01_10,6,100,
2024-08-21_01,6,100,
2024-08-21_02,6,100,
2024-08-21_03,6,100,
2024-08-21_04,6,100,
2024-08-21_05,6,100,
2024-08-21_06,6,99,
2024-08-21_07,6,100,
2024-08-21_08,6,100,
2024-08-21_09,6,100,
2024-08-21_10,6,100,
