experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-07-05_01,2,process_only_pls,template,0.5936863231305692,0.6549660094525436,-0.5936863231305693,
2024-07-05_01,2,process_only_pls,mean_shift,0.39900747310607876,0.4255362115993529,0.3233636406840361,
2024-07-05_01,2,process_only_pls,full_map,0.334090721520823,0.4462421187469326,0.3233636406840361,
2024-07-05_02,2,process_only_pls,template,0.5909739635800066,0.6082764534494368,-0.5909739635800051,
2024-07-05_02,2,process_only_pls,mean_shift,0.10727763993518875,0.14659623511933206,-0.027210989684327558,
2024-07-05_02,2,process_only_pls,full_map,0.11411050200580407,0.3203408353904061,-0.027210989684327558,
2024-07-05_03,2,process_only_pls,template,0.3407964354901194,0.3470301832894878,-0.3407964354901196,
2024-07-05_03,2,process_only_pls,mean_shift,0.12625379575762355,0.13403427765289636,0.11695063024528451,
2024-07-05_03,2,process_only_pls,full_map,0.12655772852869812,0.26927094649273625,0.11695063024528451,
2024-07-05_04,2,process_only_pls,template,0.1820223944207679,0.203953945772453,0.17519682293684724,
2024-07-05_04,2,process_only_pls,mean_shift,0.09110642970917446,0.1315826920959493,0.08006696965808402,
2024-07-05_04,2,process_only_pls,full_map,0.10614595864676674,0.16626297762876355,0.08006696965809112,
2024-07-05_05,2,process_only_pls,template,0.08218454087562983,0.12437136926970559,0.054135025184038454,
2024-07-05_05,2,process_only_pls,mean_shift,0.16305536780557753,0.1913457500032753,0.1551630094512646,
2024-07-05_05,2,process_only_pls,full_map,0.1754781524066075,0.2970610060736869,0.1551630094512575,
2024-07-05_06,2,process_only_pls,template,0.18825048430840854,0.22426683508121772,0.18157547462224244,
2024-07-05_06,2,process_only_pls,mean_shift,0.11999529541471796,0.1718841144542806,0.11053591483621972,
2024-07-05_06,2,process_only_pls,full_map,0.12992411069056647,0.19942045276573608,0.11053591483621261,
2024-07-05_07,2,process_only_pls,template,0.3038752034095322,0.32871649577701567,0.29780244091437424,
2024-07-05_07,2,process_only_pls,mean_shift,0.22662264219680378,0.25928803638108205,0.2187739587542339,
2024-07-05_07,2,process_only_pls,full_map,0.2193275400609314,0.3051032426173041,0.21877395875422678,
2024-07-05_08,2,process_only_pls,template,0.6308822161952741,0.6489827734368402,0.6308822161952747,
2024-07-05_08,2,process_only_pls,mean_shift,0.2784847022461026,0.312848569777934,0.2733275655798124,
2024-07-05_08,2,process_only_pls,full_map,0.30926378521005854,0.3498611660347404,0.2733275655798195,
2024-07-05_09,2,process_only_pls,template,0.40776172026346436,0.4294604748860744,0.40596311507168537,
2024-07-05_09,2,process_only_pls,mean_shift,0.20882320441249902,0.24620474724239028,0.20245130000575529,
2024-07-05_09,2,process_only_pls,full_map,0.2054410000946297,0.2950355655794095,0.2024513000057624,
2024-07-05_10,2,process_only_pls,template,0.48765048430840807,0.5128499885845701,0.4875889577683168,
2024-07-05_10,2,process_only_pls,mean_shift,0.22794698997082352,0.272980778252811,0.22191526815860385,
2024-07-05_10,2,process_only_pls,full_map,0.2225655265125633,0.2944983602343476,0.22191526815860385,
2024-07-11_01,4,process_only_pls,template,0.6260715614103052,0.6559206571840485,-0.6260715614103063,
2024-07-11_01,4,process_only_pls,mean_shift,0.1348826252053981,0.20944124669894973,-0.07482865296658758,
2024-07-11_01,4,process_only_pls,full_map,0.1069516373311137,0.17965526123307848,-0.07482865296659469,
2024-07-11_02,4,process_only_pls,template,0.6872209996125519,0.703056092834327,-0.6872209996125491,
