held_out_lot,family,training_wafers,test_wafers,retained_features,mean_parameter,mean_fitted_model,mean_inner_lot_macro_mae,residual_parameter,residual_fitted_model,residual_inner_lot_macro_rmse,residual_components,residual_explained_variance
1,ridge,79,9,241,100.0,,0.13402865012881915,1000.0,,0.18335633660011325,3,0.9637965610994957
1,pls,79,9,241,4,,0.12417187075038082,1,,0.17801566415624226,3,0.9637965610994957
1,gpr,79,9,241,pca=16;length=4;noise=0.05;optimize=True,3.34**2 * RBF(length_scale=14.6) + WhiteKernel(noise_level=0.0965),0.14715008548885214,pca=16;length=4;noise=0.05;optimize=True,0.773**2 * RBF(length_scale=2.81) + WhiteKernel(noise_level=0.501),0.1987990036732058,3,0.9637965610994957
2,ridge,78,10,241,10.0,,0.12274527120632277,1000.0,,0.19444813762973576,3,0.9230020070637441
2,pls,78,10,241,4,,0.12236676101735267,1,,0.1961824972632158,3,0.9230020070637441
2,gpr,78,10,241,pca=16;length=4;noise=0.05;optimize=True,2.74**2 * RBF(length_scale=11.5) + WhiteKernel(noise_level=0.0748),0.14685130276711222,pca=16;length=4;noise=0.05;optimize=True,0.723**2 * RBF(length_scale=3.09) + WhiteKernel(noise_level=0.582),0.21130962835905648,3,0.9230020070637441
3,ridge,78,10,241,10.0,,0.11574605200720936,1000.0,,0.157711985933894,3,0.9563596473865388
3,pls,78,10,241,4,,0.12528734045057163,1,,0.15837954533322052,3,0.9563596473865388
3,gpr,78,10,241,pca=16;length=4;noise=0.05;optimize=True,3.02**2 * RBF(length_scale=12.7) + WhiteKernel(noise_level=0.0774),0.1492348327961415,pca=8;length=3;noise=0.05;optimize=True,1.04**2 * RBF(length_scale=2.97) + WhiteKernel(noise_level=0.426),0.16089337443391133,3,0.9563596473865388
4,ridge,78,10,241,100.0,,0.13312739845248717,1000.0,,0.19751434657193154,3,0.9240841919375616
4,pls,78,10,241,4,,0.12456238097282167,1,,0.19682012784788816,3,0.9240841919375616
4,gpr,78,10,241,pca=16;length=4;noise=0.05;optimize=True,2.52**2 * RBF(length_scale=10.2) + WhiteKernel(noise_level=0.0537),0.14630776957161842,pca=16;length=4;noise=0.05;optimize=True,0.76**2 * RBF(length_scale=2.95) + WhiteKernel(noise_level=0.53),0.21116654637815127,3,0.9240841919375616
5,ridge,78,10,241,10.0,,0.11931263006650597,1000.0,,0.19496128501135235,3,0.9217592453861796
5,pls,78,10,241,4,,0.11815423983617628,1,,0.19682531691434318,3,0.9217592453861796
5,gpr,78,10,241,pca=16;length=4;noise=0.05;optimize=True,2.25**2 * RBF(length_scale=9.3) + WhiteKernel(noise_level=0.0654),0.1367791647300577,pca=8;length=3;noise=0.05;optimize=True,0.899**2 * RBF(length_scale=0.457) + WhiteKernel(noise_level=0.193),0.20861966431715528,3,0.9217592453861796
6,ridge,78,10,241,10.0,,0.12445757546265594,1000.0,,0.13912370678416522,3,0.9352934206888084
6,pls,78,10,241,4,,0.11612810436572062,1,,0.13509801148705824,3,0.9352934206888084
6,gpr,78,10,241,pca=16;length=4;noise=0.05;optimize=True,2.75**2 * RBF(length_scale=11.5) + WhiteKernel(noise_level=0.0633),0.1401868095711417,pca=16;length=4;noise=0.05;optimize=True,1.03**2 * RBF(length_scale=2.53) + WhiteKernel(noise_level=0.0624),0.16193701668585903,3,0.9352934206888084
7,ridge,82,6,241,10.0,,0.10188861703909663,1000.0,,0.19666877880382375,3,0.9226528933479736
7,pls,82,6,241,4,,0.11819080487574893,1,,0.1961229115683903,3,0.9226528933479736
7,gpr,82,6,241,pca=16;length=4;noise=0.05;optimize=True,2.66**2 * RBF(length_scale=11.4) + WhiteKernel(noise_level=0.07),0.13651983705876614,pca=16;length=4;noise=0.05;optimize=True,1**2 * RBF(length_scale=1.55) + WhiteKernel(noise_level=1e-05),0.21947758203686007,3,0.9226528933479736
8,ridge,78,10,241,100.0,,0.11531204273173705,1000.0,,0.1960064345785496,3,0.9264899355054267
8,pls,78,10,241,4,,0.11003240589285415,1,,0.19530861808374048,3,0.9264899355054267
8,gpr,78,10,241,pca=16;length=4;noise=0.05;optimize=True,2.85**2 * RBF(length_scale=12) + WhiteKernel(noise_level=0.0455),0.1210920726608127,pca=16;length=4;noise=0.05;optimize=True,1.01**2 * RBF(length_scale=2.76) + WhiteKernel(noise_level=0.205),0.21606438495185887,3,0.9264899355054267
9,ridge,79,9,241,10.0,,0.13303384335415816,1000.0,,0.19593188853811477,3,0.9225898105347882
9,pls,79,9,241,4,,0.1337462134647941,1,,0.195364007170654,3,0.9225898105347882
9,gpr,79,9,241,pca=16;length=4;noise=0.05;optimize=True,2.42**2 * RBF(length_scale=10) + WhiteKernel(noise_level=0.06),0.1496388525166472,pca=16;length=4;noise=0.05;optimize=True,1.02**2 * RBF(length_scale=1.92) + WhiteKernel(noise_level=1e-05),0.21997685644447193,3,0.9225898105347882
10,ridge,84,4,241,100.0,,0.13018859625708887,1000.0,,0.19471261923163838,3,0.9243245451313368
10,pls,84,4,241,4,,0.12592228460713106,1,,0.19416883353186734,3,0.9243245451313368
10,gpr,84,4,241,pca=16;length=4;noise=0.05;optimize=True,2.74**2 * RBF(length_scale=11.6) + WhiteKernel(noise_level=0.0799),0.14376622800603545,pca=4;length=2;noise=0.05;optimize=True,1.37**2 * RBF(length_scale=0.785) + WhiteKernel(noise_level=0.154),0.20939669782131246,3,0.9243245451313368
