lot_number,family,lot_mae
1,gpr,0.17138633666723627
1,pls,0.16326161674752565
1,ridge,0.16703641773910594
2,gpr,0.10512210933716129
2,pls,0.10482700756630536
2,ridge,0.13899569394274733
3,gpr,0.16274004228361247
3,pls,0.14133134129026184
3,ridge,0.14871598615648846
4,gpr,0.19570874546935846
4,pls,0.1455821678323844
4,ridge,0.15826958179484235
5,gpr,0.17944765532467552
5,pls,0.14724622189606357
5,ridge,0.14854260692030155
6,gpr,0.16261137258431418
6,pls,0.1517083843402657
6,ridge,0.13231972647889786
7,gpr,0.14395628097010174
7,pls,0.12948488604417077
7,ridge,0.1987215145906762
8,gpr,0.3059968684302623
8,pls,0.24700468848901455
8,ridge,0.22253270367540984
9,gpr,0.10118344746824538
9,pls,0.0895774957244774
9,ridge,0.11036262393934036
10,gpr,0.13781456448498666
10,pls,0.1013728931038503
10,ridge,0.1258307844151126
