experiment_key,lot_number,family,stage,mae,rmse,mean_error,mean_predicted_std
2024-07-02_01,1,ridge,template,0.6920004835727498,0.7504100949033217,-0.6853522969705637,
2024-07-02_01,1,ridge,mean_shift,0.2663168548042805,0.3212825120776797,0.0990702427419734,
2024-07-02_01,1,ridge,full_map,0.17695130980581178,0.25171925511843957,0.0990702427419734,
2024-07-02_02,1,ridge,template,0.43630285876831243,0.5019599017769464,-0.43630285876831465,
2024-07-02_02,1,ridge,mean_shift,0.2008308397307874,0.24911177506465715,-0.021286569788124154,
2024-07-02_02,1,ridge,full_map,0.17501247960768257,0.20959777369487426,-0.02128656978813126,
2024-07-02_03,1,ridge,template,0.5500478025885371,0.6107820924948041,-0.5500478025885371,
2024-07-02_03,1,ridge,mean_shift,0.23827156343222938,0.3060737750448918,-0.1522464330957476,
2024-07-02_03,1,ridge,full_map,0.2272227538987588,0.2860238991063612,-0.1522464330957547,
2024-07-02_04,1,ridge,template,0.317329554828617,0.38649659737790293,-0.3114208362963993,
2024-07-02_04,1,ridge,mean_shift,0.2004499039700477,0.24908971706909516,-0.09822934716476084,
2024-07-02_04,1,ridge,full_map,0.19207573900564912,0.23749296680274742,-0.09822934716477505,
2024-07-02_05,1,ridge,template,0.20160459394111668,0.25271319665173775,0.15919489404067377,
2024-07-02_05,1,ridge,mean_shift,0.16668559478371692,0.19651592363571269,0.009877386753558426,
2024-07-02_05,1,ridge,full_map,0.17141135281493491,0.20660396078216692,0.00987738675355132,
2024-07-02_06,1,ridge,template,0.15854157303370744,0.19078947664892776,0.001569051344048944,
2024-07-02_06,1,ridge,mean_shift,0.16953556788502153,0.20337765609705297,-0.07045784925527698,
2024-07-02_06,1,ridge,full_map,0.16849127625888452,0.20046368742782245,-0.07045784925528409,
2024-07-02_08,1,ridge,template,0.4813634333665187,0.49634943383118935,0.48136343336651777,
2024-07-02_08,1,ridge,mean_shift,0.12477583832846514,0.16604993877671895,0.11366871462989536,
2024-07-02_08,1,ridge,full_map,0.1326714237478269,0.1647057192787008,0.11366871462989536,
2024-07-02_09,1,ridge,template,0.24446711705304955,0.2911404591089917,0.240388152467645,
2024-07-02_09,1,ridge,mean_shift,0.13405549426458352,0.1720424910865213,0.05120855061284857,
2024-07-02_09,1,ridge,full_map,0.13402188503117038,0.1609500284075513,0.05120855061283436,
2024-07-02_10,1,ridge,template,0.2973862181766453,0.32790199266279885,0.2954712985350625,
2024-07-02_10,1,ridge,mean_shift,0.12745654397525177,0.1718090071026457,0.09644639126145194,
2024-07-02_10,1,ridge,full_map,0.12546953948123474,0.1605934288841982,0.09644639126144483,
2024-07-02_01,1,pls,template,0.6920004835727498,0.7504100949033217,-0.6853522969705637,
2024-07-02_01,1,pls,mean_shift,0.26361858254200343,0.31952496963103894,0.0932130175872743,
2024-07-02_01,1,pls,full_map,0.14585171856233559,0.24489355517343767,0.09321301758726719,
2024-07-02_02,1,pls,template,0.43630285876831243,0.5019599017769464,-0.43630285876831465,
2024-07-02_02,1,pls,mean_shift,0.2018067089154627,0.25890445734508666,-0.07367468771996499,
2024-07-02_02,1,pls,full_map,0.1706597400302561,0.20874873896966056,-0.0736746877199721,
2024-07-02_03,1,pls,template,0.5500478025885371,0.6107820924948041,-0.5500478025885371,
2024-07-02_03,1,pls,mean_shift,0.25306964972342444,0.3295632000524068,-0.1952171187394427,
2024-07-02_03,1,pls,full_map,0.24692393550660252,0.3124525001526235,-0.1952171187394498,
2024-07-02_04,1,pls,template,0.317329554828617,0.38649659737790293,-0.3114208362963993,
2024-07-02_04,1,pls,mean_shift,0.2039169404596333,0.2552430687110257,-0.1129262662974142,
2024-07-02_04,1,pls,full_map,0.2012042319054522,0.24866068807336442,-0.1129262662974142,
2024-07-02_05,1,pls,template,0.20160459394111668,0.25271319665173775,0.15919489404067377,
2024-07-02_05,1,pls,mean_shift,0.17318301537749226,0.2044856988611191,-0.05738863620441492,
2024-07-02_05,1,pls,full_map,0.17476120752299878,0.20970205231533065,-0.05738863620442913,
2024-07-02_06,1,pls,template,0.15854157303370744,0.19078947664892776,0.001569051344048944,
2024-07-02_06,1,pls,mean_shift,0.1843469212150165,0.22262588406867975,-0.114735006774346,
2024-07-02_06,1,pls,full_map,0.18432686356993241,0.22263329236851315,-0.11473500677435311,
2024-07-02_08,1,pls,template,0.4813634333665187,0.49634943383118935,0.48136343336651777,
2024-07-02_08,1,pls,mean_shift,0.09347286571460021,0.12479755157862368,0.03037142403444193,
2024-07-02_08,1,pls,full_map,0.08580213990970464,0.11607425287411134,0.030371424034434824,
2024-07-02_09,1,pls,template,0.24446711705304955,0.2911404591089917,0.240388152467645,
2024-07-02_09,1,pls,mean_shift,0.14330620581506626,0.1698512873697479,-0.043279980796810946,
2024-07-02_09,1,pls,full_map,0.14236900698813668,0.17523344892270046,-0.04327998079681805,
2024-07-02_10,1,pls,template,0.2973862181766453,0.32790199266279885,0.2954712985350625,
2024-07-02_10,1,pls,mean_shift,0.11454505549879944,0.15093472787139375,0.050644481864964064,
2024-07-02_10,1,pls,full_map,0.11745570673231226,0.14812832759107597,0.050644481864964064,
2024-07-02_01,1,gpr,template,0.6920004835727498,0.7504100949033217,-0.6853522969705637,
2024-07-02_01,1,gpr,mean_shift,0.23606949891226786,0.3069194675286069,0.028142849501314515,0.17739757432569303
2024-07-02_01,1,gpr,full_map,0.18228803301128838,0.25919724608692396,0.028142849501300304,0.23485375039485237
2024-07-02_02,1,gpr,template,0.43630285876831243,0.5019599017769464,-0.43630285876831465,
2024-07-02_02,1,gpr,mean_shift,0.20091848632135703,0.25571209555293717,-0.06152330769354819,0.1744560609405568
2024-07-02_02,1,gpr,full_map,0.19281124457664478,0.24460971758651062,-0.061523307693555296,0.23183306268686665
2024-07-02_03,1,gpr,template,0.5500478025885371,0.6107820924948041,-0.5500478025885371,
2024-07-02_03,1,gpr,mean_shift,0.2545291231303053,0.3319099366406679,-0.19915327429133356,0.1487910284270338
2024-07-02_03,1,gpr,full_map,0.24948157652302436,0.31559535580464426,-0.19915327429134067,0.2053740293817371
2024-07-02_04,1,gpr,template,0.317329554828617,0.38649659737790293,-0.3114208362963993,
2024-07-02_04,1,gpr,mean_shift,0.19405302366304583,0.23692873659903563,-0.06114363189465166,0.14636971378712296
