policy,removed_lot,macro_aurc,macro_random_aurc,relative_reduction_vs_random,worst_lot_aurc,lots_worse_than_random,median_policy_minus_random,excluded_lot_of_interest
combined,none,0.1287481015254027,0.14191073227819412,0.09275289149370403,0.16907967348655903,2,-0.004352047233856002,8
combined,1,0.12532427508625893,0.13955187599728175,0.10195205767996951,0.16907967348655903,2,-0.004352047233856002,8
combined,2,0.13159458721077558,0.14603858077030873,0.09890532682079978,0.16907967348655903,2,-0.004352047233856002,8
combined,3,0.13154441981041465,0.14196485184681057,0.0734014926993356,0.16907967348655903,2,-0.004352047233856002,8
combined,4,0.12938041475311823,0.14153834743404575,0.08589850666861076,0.16907967348655903,2,-0.004352047233856002,8
combined,5,0.12678684988393985,0.1413060508230024,0.10275002984301829,0.16907967348655903,2,-0.004352047233856002,8
combined,6,0.12488074414358875,0.14082312252503515,0.11320852780133606,0.16907967348655903,1,-0.004352047233856002,8
combined,7,0.13082876255804432,0.1432883619551606,0.08695472002824112,0.16907967348655903,2,-0.004352047233856002,8
combined,8,0.12426681575194087,0.13047410592584205,0.047574881849960615,0.16355431796172826,2,-0.004352047233856002,8
combined,9,0.1336566658350008,0.14771223387821308,0.09515507060031958,0.16907967348655903,2,-0.004352047233856002,8
combined,10,0.12921748022094504,0.146409791626241,0.11742596730951549,0.16907967348655903,1,-0.004352047233856002,8
delta,none,0.13153310596005102,0.14191073227819412,0.07312784700313824,0.17853306804230643,4,-0.00877017667974022,8
delta,1,0.12734087608179864,0.13955187599728175,0.08750151030374509,0.17853306804230643,3,-0.00877017667974022,8
delta,2,0.13385187190230152,0.14603858077030873,0.08344855724922862,0.17853306804230643,3,-0.00877017667974022,8
delta,3,0.13446826389412314,0.14196485184681057,0.052805943549863565,0.17853306804230643,4,-0.00877017667974022,8
delta,4,0.13095392115538204,0.14153834743404575,0.07478133290764788,0.17853306804230643,4,-0.00877017667974022,8
delta,5,0.13124931751961252,0.1413060508230024,0.07116987025549792,0.17853306804230643,4,-0.00877017667974022,8
delta,6,0.12858862435011204,0.14082312252503515,0.08687847532104043,0.17853306804230643,3,-0.00877017667974022,8
delta,7,0.13300931926059456,0.1432883619551606,0.07173675903827181,0.17853306804230643,4,-0.00877017667974022,8
delta,8,0.12631088795091155,0.13047410592584205,0.03190838477403901,0.1692631748643227,4,-0.00877017667974022,8
delta,9,0.1371841964898345,0.14771223387821308,0.0712739704218327,0.17853306804230643,4,-0.00877017667974022,8
