lot_number,policy,aurc,random_p025,random_p975
1,random,0.16314043880640547,0.13959617224064486,0.18721676174370935
1,periodic,0.16829069435023752,,
1,ood,0.15288039782303559,,
1,initial_state,0.1633346248204387,,
1,delta,0.1692631748643227,,
1,ewma,0.14718125440726143,,
1,disagreement,0.17439250126445252,,
1,combined,0.15956253947769666,,
1,training_weighted_candidate,0.16793303478457824,,
1,oracle,0.12935545273465116,,
2,random,0.10476009584916246,0.08589029201524395,0.12978045481310044
2,periodic,0.09054488458621812,,
2,ood,0.09899625301170017,,
2,initial_state,0.09385211875769879,,
2,delta,0.11066421247979699,,
2,ewma,0.10502673961107611,,
2,disagreement,0.0930921488676616,,
2,combined,0.10312973035704694,,
2,training_weighted_candidate,0.10605052746121926,,
2,oracle,0.07776923270355976,,
3,random,0.14142365616064606,0.10497307070979098,0.18566207552369202
3,periodic,0.11889370121630402,,
3,ood,0.10869141205896342,,
3,initial_state,0.11370073039496108,,
3,delta,0.1051166845534023,,
3,ewma,0.13620120949778203,,
3,disagreement,0.14436465372402926,,
3,combined,0.10358123696029486,,
3,training_weighted_candidate,0.14436465372402926,,
3,oracle,0.08881649165772432,,
4,random,0.1452621958755293,0.10155530614194319,0.19761147012414434
4,periodic,0.1448646471304574,,
4,ood,0.15183056189977645,,
4,initial_state,0.13446977999204074,,
4,delta,0.13674576920207202,,
4,ewma,0.13106519948692502,,
4,disagreement,0.12112708281268905,,
4,combined,0.12305728247596286,,
4,training_weighted_candidate,0.15695700034515428,,
4,oracle,0.08228022486650122,,
5,random,0.14735286537491957,0.11905157511444812,0.17647030306466546
5,periodic,0.1459516681901708,,
5,ood,0.135839936954694,,
5,initial_state,0.1436321512023683,,
5,delta,0.1340872019239977,,
5,ewma,0.15430509937863968,,
5,disagreement,0.13615533772077792,,
5,combined,0.14639936629856853,,
5,training_weighted_candidate,0.13412107869494047,,
5,oracle,0.10554241961569209,,
6,random,0.1516992200566245,0.09875644042260356,0.2174582349826574
6,periodic,0.16327267771514745,,
6,ood,0.16046144049778363,,
6,initial_state,0.20599848480100266,,
6,delta,0.1580334404495022,,
6,ewma,0.12975853411984795,,
6,disagreement,0.15819699184406258,,
6,combined,0.16355431796172826,,
6,training_weighted_candidate,0.17401557993726643,,
6,oracle,0.08150753797198197,,
7,random,0.12951206518549582,0.09106775089617383,0.16716113677924618
7,periodic,0.09424924564510033,,
7,ood,0.11002215223162815,,
7,initial_state,0.09176321638097759,,
7,delta,0.11824718625515938,,
7,ewma,0.11737785439915469,,
7,disagreement,0.13044853517746838,,
7,combined,0.11002215223162815,,
7,training_weighted_candidate,0.09861196785321967,,
7,oracle,0.0855463147937567,,
8,random,0.24484036944936266,0.12440999099621793,0.39761235448016924
8,periodic,0.21654905421139864,,
8,ood,0.20264664538245997,,
8,initial_state,0.20293668145214783,,
8,delta,0.17853306804230643,,
8,ewma,0.26692656287201394,,
8,disagreement,0.15131361426576462,,
8,combined,0.16907967348655903,,
8,training_weighted_candidate,0.216179986821515,,
8,oracle,0.08714745437971592,,
9,random,0.08969721787802307,0.07431912973398906,0.1038713131738466
9,periodic,0.09856287736584203,,
9,ood,0.09628684378448392,,
9,initial_state,0.09671752743282097,,
9,delta,0.08067329119199991,,
9,ewma,0.07599749068464907,,
9,disagreement,0.08707732600600802,,
9,combined,0.08457102273901987,,
9,training_weighted_candidate,0.08286400140006535,,
9,oracle,0.06830519227845364,,
10,random,0.10141919814577205,0.08049233307112355,0.12452369326552176
10,periodic,0.09383579632099028,,
10,ood,0.11006725855132872,,
10,initial_state,0.12452369326552176,,
10,delta,0.12396703063795088,,
10,ewma,0.10606558052489978,,
10,disagreement,0.12452369326552176,,
10,combined,0.12452369326552176,,
10,training_weighted_candidate,0.12452369326552176,,
10,oracle,0.08049233307112355,,
