lot_number,policy,requested_budget,selected_wafers,actual_metrology_fraction,retained_mae,random_p025,random_p975
1,random,0.0,0,0.0,0.16326161674759845,0.16326161674759848,0.16326161674759848
1,random,0.1,1,0.1111111111111111,0.16312197675851745,0.15280382690271,0.17294405135233268
1,random,0.2,2,0.2222222222222222,0.16309890910270583,0.14588948333087468,0.18087095772661715
1,random,0.3,3,0.3333333333333333,0.16315633626389822,0.14107752929886783,0.18257282734268032
1,random,0.4,4,0.4444444444444444,0.1630955942482421,0.13820956023667458,0.18979329791505034
1,random,0.5,4,0.4444444444444444,0.1630955942482421,0.13820956023667458,0.18979329791505034
1,random,0.6,5,0.5555555555555556,0.16305092215521494,0.13009701528828366,0.19457668738625336
1,random,0.7,6,0.6666666666666666,0.1631712352745129,0.12463919555743476,0.20626263581416718
1,random,0.8,7,0.7777777777777778,0.16303531876856608,0.10162892332103304,0.2240640837061317
1,random,0.9,8,0.8888888888888888,0.16352481901157392,0.08580213990972468,0.24692393550670616
1,periodic,0.0,0,0.0,0.16326161674759848,,
1,periodic,0.1,1,0.1111111111111111,0.1654378540207141,,
1,periodic,0.2,2,0.2222222222222222,0.1722924464904816,,
1,periodic,0.3,3,0.3333333333333333,0.17188098631840923,,
1,periodic,0.4,4,0.4444444444444444,0.16410320599154754,,
1,periodic,0.5,4,0.4444444444444444,0.16410320599154754,,
1,periodic,0.6,5,0.5555555555555556,0.17463996062350615,,
1,periodic,0.7,6,0.6666666666666666,0.1625966515137689,,
1,periodic,0.8,7,0.7777777777777778,0.16636303770821542,,
1,periodic,0.9,8,0.8888888888888888,0.17476120752291582,,
1,ood,0.0,0,0.0,0.16326161674759848,,
1,ood,0.1,1,0.1111111111111111,0.1623368513372685,,
1,ood,0.2,2,0.2222222222222222,0.16469187030506777,,
1,ood,0.3,3,0.3333333333333333,0.16141937142756635,,
1,ood,0.4,4,0.4444444444444444,0.14431845861173836,,
1,ood,0.5,4,0.4444444444444444,0.14431845861173836,,
1,ood,0.6,5,0.5555555555555556,0.15894753828724179,,
1,ood,0.7,6,0.6666666666666666,0.14486197374780332,,
1,ood,0.8,7,0.7777777777777778,0.1461084571276286,,
1,ood,0.9,8,0.8888888888888888,0.1174557067323414,,
1,initial_state,0.0,0,0.0,0.16326161674759848,,
