held_out_lot,split,score_a,score_b,spearman,n_pairs
1,train,ood,initial_state,0.6052988807743851,79
1,train,ood,delta,0.5178269942576166,70
1,train,ood,ewma,0.5398930877882618,70
1,train,ood,disagreement,0.22012307010644958,79
1,train,initial_state,delta,0.34854343452016445,70
1,train,initial_state,ewma,0.3070072609570466,70
1,train,initial_state,disagreement,0.4781402142161636,79
1,train,delta,ewma,0.6280290438281865,70
1,train,delta,disagreement,0.003866678330854693,70
1,train,ewma,disagreement,0.007400927302948123,70
1,test,ood,initial_state,0.5333333333333333,9
1,test,ood,delta,0.4523809523809524,8
1,test,ood,ewma,0.4047619047619048,8
1,test,ood,disagreement,-0.11666666666666665,9
1,test,initial_state,delta,0.5714285714285715,8
1,test,initial_state,ewma,0.6904761904761906,8
1,test,initial_state,disagreement,0.65,9
1,test,delta,ewma,0.4285714285714286,8
1,test,delta,disagreement,0.3571428571428572,8
1,test,ewma,disagreement,0.38095238095238104,8
2,train,ood,initial_state,0.6241550103410154,78
2,train,ood,delta,0.5686305030068443,69
2,train,ood,ewma,0.49602149269422946,69
2,train,ood,disagreement,0.31691508275668506,78
2,train,initial_state,delta,0.3826086956521739,69
2,train,initial_state,ewma,0.32031421264157844,69
2,train,initial_state,disagreement,0.4025468202683392,78
2,train,delta,ewma,0.6414687614176106,69
2,train,delta,disagreement,0.1523565948118378,69
2,train,ewma,disagreement,0.12100840336134454,69
2,test,ood,initial_state,0.5030303030303029,10
2,test,ood,delta,0.016666666666666666,9
2,test,ood,ewma,0.6166666666666666,9
2,test,ood,disagreement,0.4787878787878787,10
2,test,initial_state,delta,-0.15,9
2,test,initial_state,ewma,0.25,9
2,test,initial_state,disagreement,0.0303030303030303,10
2,test,delta,ewma,0.48333333333333334,9
2,test,delta,disagreement,0.43333333333333335,9
2,test,ewma,disagreement,0.0,9
3,train,ood,initial_state,0.4886050366797222,78
3,train,ood,delta,0.4202583484939475,69
3,train,ood,ewma,0.45206731226787855,69
3,train,ood,disagreement,0.4068926294221852,78
3,train,initial_state,delta,0.35020094994519557,69
3,train,initial_state,ewma,0.3106686152721959,69
3,train,initial_state,disagreement,0.4474133461475233,78
3,train,delta,ewma,0.6069419071976617,69
3,train,delta,disagreement,-0.04497625137011327,69
3,train,ewma,disagreement,-0.029338691998538547,69
3,test,ood,initial_state,0.6242424242424242,10
3,test,ood,delta,0.21666666666666667,9
3,test,ood,ewma,0.09999999999999999,9
3,test,ood,disagreement,0.09090909090909088,10
3,test,initial_state,delta,0.3,9
3,test,initial_state,ewma,0.11666666666666665,9
3,test,initial_state,disagreement,0.4424242424242424,10
3,test,delta,ewma,0.7999999999999999,9
3,test,delta,disagreement,0.38333333333333336,9
3,test,ewma,disagreement,0.5499999999999999,9
4,train,ood,initial_state,0.5538095781994474,78
4,train,ood,delta,0.5556428525518621,69
4,train,ood,ewma,0.525277259334014,69
4,train,ood,disagreement,0.3202079175709479,78
4,train,initial_state,delta,0.357215929850201,69
4,train,initial_state,ewma,0.2737668980635733,69
4,train,initial_state,disagreement,0.5168375927869598,78
4,train,delta,ewma,0.5766167336499818,69
4,train,delta,disagreement,0.1739130434782609,69
4,train,ewma,disagreement,0.12882718304713192,69
4,test,ood,initial_state,0.7939393939393938,10
4,test,ood,delta,0.3,9
4,test,ood,ewma,0.5,9
4,test,ood,disagreement,0.16363636363636364,10
4,test,initial_state,delta,0.5166666666666667,9
4,test,initial_state,ewma,0.6333333333333333,9
4,test,initial_state,disagreement,0.04242424242424241,10
4,test,delta,ewma,0.8666666666666667,9
4,test,delta,disagreement,-0.6333333333333333,9
4,test,ewma,disagreement,-0.41666666666666663,9
5,train,ood,initial_state,0.5655965278884605,78
5,train,ood,delta,0.5608316783484137,69
5,train,ood,ewma,0.4746496667908992,69
5,train,ood,disagreement,0.32851695828519856,78
5,train,initial_state,delta,0.3368651808549507,69
5,train,initial_state,ewma,0.2737668980635733,69
5,train,initial_state,disagreement,0.42905196069753027,78
5,train,delta,ewma,0.6216295213737669,69
5,train,delta,disagreement,0.15491413956887104,69
5,train,ewma,disagreement,0.14468396054073804,69
5,test,ood,initial_state,0.7939393939393938,10
5,test,ood,delta,0.35,9
5,test,ood,ewma,0.75,9
5,test,ood,disagreement,0.7212121212121211,10
5,test,initial_state,delta,0.45,9
5,test,initial_state,ewma,0.48333333333333334,9
