held_out_lot,component,selected_weight,inner_equal_macro_aurc,inner_selected_macro_aurc,inner_relative_gain,inner_improved_lot_fraction,adoption_rule_passed,grid_candidates
1,ood,0.0,0.13469266333271912,0.12189575182022722,0.09500822981635493,0.6666666666666666,False,70
1,initial_state,0.0,0.13469266333271912,0.12189575182022722,0.09500822981635493,0.6666666666666666,False,70
1,delta,0.5,0.13469266333271912,0.12189575182022722,0.09500822981635493,0.6666666666666666,False,70
1,ewma,0.0,0.13469266333271912,0.12189575182022722,0.09500822981635493,0.6666666666666666,False,70
1,disagreement,0.5,0.13469266333271912,0.12189575182022722,0.09500822981635493,0.6666666666666666,False,70
2,ood,0.0,0.13328655264315858,0.12322904551941319,0.07545777818015786,0.5555555555555556,False,70
2,initial_state,0.0,0.13328655264315858,0.12322904551941319,0.07545777818015786,0.5555555555555556,False,70
2,delta,0.25,0.13328655264315858,0.12322904551941319,0.07545777818015786,0.5555555555555556,False,70
2,ewma,0.25,0.13328655264315858,0.12322904551941319,0.07545777818015786,0.5555555555555556,False,70
2,disagreement,0.5,0.13328655264315858,0.12322904551941319,0.07545777818015786,0.5555555555555556,False,70
3,ood,0.0,0.13436003229626248,0.12063178773341132,0.1021750614987984,0.6666666666666666,False,70
3,initial_state,0.0,0.13436003229626248,0.12063178773341132,0.1021750614987984,0.6666666666666666,False,70
3,delta,0.0,0.13436003229626248,0.12063178773341132,0.1021750614987984,0.6666666666666666,False,70
3,ewma,0.0,0.13436003229626248,0.12063178773341132,0.1021750614987984,0.6666666666666666,False,70
3,disagreement,1.0,0.13436003229626248,0.12063178773341132,0.1021750614987984,0.6666666666666666,False,70
4,ood,0.5,0.1396506028429524,0.13692000589904266,0.01955306234503329,0.6666666666666666,False,70
4,initial_state,0.0,0.1396506028429524,0.13692000589904266,0.01955306234503329,0.6666666666666666,False,70
4,delta,0.25,0.1396506028429524,0.13692000589904266,0.01955306234503329,0.6666666666666666,False,70
4,ewma,0.0,0.1396506028429524,0.13692000589904266,0.01955306234503329,0.6666666666666666,False,70
4,disagreement,0.25,0.1396506028429524,0.13692000589904266,0.01955306234503329,0.6666666666666666,False,70
5,ood,0.25,0.128848785583911,0.1228823485489497,0.04630572968090374,0.8888888888888888,True,70
5,initial_state,0.0,0.128848785583911,0.1228823485489497,0.04630572968090374,0.8888888888888888,True,70
5,delta,0.25,0.128848785583911,0.1228823485489497,0.04630572968090374,0.8888888888888888,True,70
5,ewma,0.0,0.128848785583911,0.1228823485489497,0.04630572968090374,0.8888888888888888,True,70
5,disagreement,0.5,0.128848785583911,0.1228823485489497,0.04630572968090374,0.8888888888888888,True,70
6,ood,0.5,0.12976751489831673,0.12166574388448234,0.06243296729680592,0.7777777777777778,True,70
6,initial_state,0.0,0.12976751489831673,0.12166574388448234,0.06243296729680592,0.7777777777777778,True,70
6,delta,0.25,0.12976751489831673,0.12166574388448234,0.06243296729680592,0.7777777777777778,True,70
6,ewma,0.0,0.12976751489831673,0.12166574388448234,0.06243296729680592,0.7777777777777778,True,70
6,disagreement,0.25,0.12976751489831673,0.12166574388448234,0.06243296729680592,0.7777777777777778,True,70
7,ood,0.5,0.12694633456094392,0.11924005451115656,0.060705022137427345,0.6666666666666666,False,70
7,initial_state,0.0,0.12694633456094392,0.11924005451115656,0.060705022137427345,0.6666666666666666,False,70
7,delta,0.0,0.12694633456094392,0.11924005451115656,0.060705022137427345,0.6666666666666666,False,70
7,ewma,0.0,0.12694633456094392,0.11924005451115656,0.060705022137427345,0.6666666666666666,False,70
7,disagreement,0.5,0.12694633456094392,0.11924005451115656,0.060705022137427345,0.6666666666666666,False,70
8,ood,0.0,0.13160172031819664,0.12460396976975494,0.053173701160760034,0.6666666666666666,False,70
8,initial_state,0.0,0.13160172031819664,0.12460396976975494,0.053173701160760034,0.6666666666666666,False,70
8,delta,0.0,0.13160172031819664,0.12460396976975494,0.053173701160760034,0.6666666666666666,False,70
8,ewma,0.75,0.13160172031819664,0.12460396976975494,0.053173701160760034,0.6666666666666666,False,70
8,disagreement,0.25,0.13160172031819664,0.12460396976975494,0.053173701160760034,0.6666666666666666,False,70
9,ood,0.0,0.1402011207411439,0.13656601327633058,0.025927806037477352,0.4444444444444444,False,70
9,initial_state,0.0,0.1402011207411439,0.13656601327633058,0.025927806037477352,0.4444444444444444,False,70
9,delta,0.25,0.1402011207411439,0.13656601327633058,0.025927806037477352,0.4444444444444444,False,70
9,ewma,0.25,0.1402011207411439,0.13656601327633058,0.025927806037477352,0.4444444444444444,False,70
9,disagreement,0.5,0.1402011207411439,0.13656601327633058,0.025927806037477352,0.4444444444444444,False,70
10,ood,0.0,0.13587183586895063,0.12879388297902186,0.05209286269419,0.5555555555555556,False,70
10,initial_state,0.0,0.13587183586895063,0.12879388297902186,0.05209286269419,0.5555555555555556,False,70
10,delta,0.5,0.13587183586895063,0.12879388297902186,0.05209286269419,0.5555555555555556,False,70
10,ewma,0.0,0.13587183586895063,0.12879388297902186,0.05209286269419,0.5555555555555556,False,70
10,disagreement,0.5,0.13587183586895063,0.12879388297902186,0.05209286269419,0.5555555555555556,False,70
