experiment_key,lot_number,true_pls_mae,ood_percentile,initial_state_percentile,delta_percentile,ewma_percentile,disagreement_percentile,combined_risk,training_weighted_risk,combined_components,ood_initial_train_spearman
2024-07-02_01,1,0.14585171856267354,0.7848101265822784,0.8734177215189873,0.5,0.5,0.6582278481012658,0.6632911392405063,0.5791139240506329,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-02_02,1,0.1706597400302382,0.8354430379746836,0.8354430379746836,0.8,0.8714285714285714,0.7341772151898734,0.8152983725135623,0.7670886075949368,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-02_03,1,0.24692393550670616,0.5949367088607594,0.7468354430379747,0.4,0.5857142857142857,0.5063291139240507,0.5667631103074141,0.45316455696202534,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-02_04,1,0.20120423190555725,0.4430379746835443,0.6962025316455697,0.0,0.38571428571428573,0.6455696202531646,0.4341048824593129,0.3227848101265823,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-02_05,1,0.17476120752291582,0.02531645569620253,0.7848101265822784,0.4714285714285714,0.5,0.8227848101265823,0.5208679927667269,0.6471066907775769,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-02_06,1,0.18432686357007644,0.7088607594936709,0.5189873417721519,0.5,0.12857142857142856,0.26582278481012656,0.4244484629294756,0.3829113924050633,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-02_08,1,0.08580213990972468,0.46835443037974683,0.7974683544303798,0.45714285714285713,0.24285714285714285,0.8607594936708861,0.5653164556962025,0.6589511754068716,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-02_09,1,0.14236900698815272,0.25316455696202533,0.7468354430379747,0.6857142857142857,0.5,0.8860759493670886,0.6143580470162748,0.7858951175406872,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-02_10,1,0.1174557067323414,0.0,0.3670886075949367,0.1,0.014285714285714285,0.4177215189873418,0.17981916817359855,0.2588607594936709,"ood,initial_state,delta,ewma,disagreement",0.6052988807743851
2024-07-05_01,2,0.22157967943554244,0.8205128205128205,0.8974358974358975,0.5,0.5,1.0,0.7435897435897436,0.75,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_02,2,0.10232660778009078,0.6025641025641025,0.34615384615384615,0.782608695652174,0.7971014492753623,0.9358974358974359,0.6928651059085842,0.862876254180602,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_03,2,0.09862891056469691,0.7692307692307693,0.5128205128205128,0.057971014492753624,0.6811594202898551,0.3333333333333333,0.47090301003344487,0.35144927536231885,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_04,2,0.06087172808408286,0.3333333333333333,0.6282051282051282,0.5072463768115942,0.7971014492753623,0.8717948717948718,0.6275362318840579,0.761984392419175,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_05,2,0.08052734097352945,0.3333333333333333,0.1794871794871795,0.5072463768115942,0.391304347826087,0.8846153846153846,0.4591973244147157,0.6669453734671126,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_06,2,0.08906624594487982,0.3974358974358974,0.2692307692307692,0.13043478260869565,0.11594202898550725,0.8846153846153846,0.3595317725752508,0.5039018952062431,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_07,2,0.13805263442076537,0.20512820512820512,0.2948717948717949,0.10144927536231885,0.057971014492753624,0.7948717948717948,0.2908584169453735,0.43729096989966554,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_08,2,0.05980098388790782,0.3333333333333333,0.34615384615384615,0.5072463768115942,0.42028985507246375,0.7692307692307693,0.4752508361204013,0.6164994425863991,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_09,2,0.09157884415557832,0.47435897435897434,0.48717948717948717,0.37681159420289856,0.057971014492753624,0.9230769230769231,0.4638795986622074,0.5702341137123746,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-05_10,2,0.1058371004151045,0.2564102564102564,0.46153846153846156,0.2463768115942029,0.0,0.8717948717948718,0.3672240802675585,0.4974916387959866,"ood,initial_state,delta,ewma,disagreement",0.6241550103410154
2024-07-09_01,3,0.17320483695042793,0.9487179487179487,0.8589743589743589,0.5,0.5,1.0,0.7615384615384615,1.0,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_02,3,0.20117885670197505,0.2948717948717949,0.24358974358974358,0.7681159420289855,0.7681159420289855,1.0,0.6149386845039019,1.0,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_03,3,0.1641059246708647,0.6282051282051282,0.0641025641025641,0.5072463768115942,0.6376811594202898,0.9743589743589743,0.5623188405797102,0.9743589743589743,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_04,3,0.07843687101186743,0.2564102564102564,0.01282051282051282,0.043478260869565216,0.30434782608695654,0.6282051282051282,0.24905239687848385,0.6282051282051282,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_05,3,0.1326355483719736,0.6666666666666666,0.9230769230769231,0.927536231884058,0.9565217391304348,0.6666666666666666,0.8280936454849499,0.6666666666666666,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_06,3,0.1218443749752605,0.2948717948717949,0.0,0.9130434782608695,0.3188405797101449,0.24358974358974358,0.3540691192865106,0.24358974358974358,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_07,3,0.0824100814072719,0.5256410256410257,0.0641025641025641,0.043478260869565216,0.2608695652173913,0.10256410256410256,0.19933110367892976,0.10256410256410256,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_08,3,0.044869266100433444,0.47435897435897434,0.16666666666666666,0.028985507246376812,0.10144927536231885,0.4230769230769231,0.23890746934225193,0.4230769230769231,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_09,3,0.0829048789910856,0.0,0.21794871794871795,0.34782608695652173,0.15942028985507245,0.8461538461538461,0.31426978818283163,0.8461538461538461,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-09_10,3,0.33172277372160025,0.6923076923076923,0.32051282051282054,0.5072463768115942,0.13043478260869565,0.1794871794871795,0.36599777034559644,0.1794871794871795,"ood,initial_state,delta,ewma,disagreement",0.4886050366797222
2024-07-11_01,4,0.15135047037124824,0.8076923076923077,0.5384615384615384,0.5,0.5,0.21794871794871795,0.5128205128205129,0.5833333333333334,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_02,4,0.24265855693549707,0.3717948717948718,0.11538461538461539,0.6231884057971014,0.6231884057971014,0.08974358974358974,0.364659977703456,0.3641304347826087,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_03,4,0.10418102531922285,0.9230769230769231,0.9358974358974359,0.8840579710144928,0.927536231884058,0.5,0.8341137123745821,0.8075529542920847,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_04,4,0.194700595505427,0.6153846153846154,0.32051282051282054,0.8840579710144928,0.5797101449275363,0.08974358974358974,0.497881828316611,0.5511426978818283,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_05,4,0.15260152481522835,0.7564102564102564,0.9358974358974359,0.8985507246376812,0.8695652173913043,0.08974358974358974,0.7100334448160535,0.625278706800446,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_06,4,0.057674704474687095,0.3076923076923077,0.02564102564102564,0.8840579710144928,0.4057971014492754,0.038461538461538464,0.33232998885172804,0.38447603121516166,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_07,4,0.059143093562181115,0.782051282051282,0.1794871794871795,0.43478260869565216,0.3188405797101449,0.19230769230769232,0.3814938684503902,0.5477982162764772,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_08,4,0.047454153060391156,0.46153846153846156,0.15384615384615385,0.028985507246376812,0.057971014492753624,0.6923076923076923,0.27892976588628765,0.4110925306577481,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_09,4,0.36359766542055005,0.48717948717948717,0.5256410256410257,0.4927536231884058,0.391304347826087,0.6153846153846154,0.5024526198439242,0.5206243032329989,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-11_10,4,0.08245988885131635,0.782051282051282,0.9358974358974359,0.8840579710144928,0.8695652173913043,0.05128205128205128,0.7045707915273132,0.624860646599777,"ood,initial_state,delta,ewma,disagreement",0.5538095781994474
2024-07-19_01,5,0.23511039179109391,0.9743589743589743,0.9743589743589743,0.5,0.5,0.9615384615384616,0.7820512820512822,0.8493589743589745,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_02,5,0.11029475300958014,0.6025641025641025,0.16666666666666666,0.9855072463768116,0.9855072463768116,0.9230769230769231,0.7326644370122631,0.8585562987736901,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_03,5,0.0726015756324412,0.21794871794871795,0.01282051282051282,0.08695652173913043,0.8840579710144928,0.0641025641025641,0.2531772575250836,0.10827759197324414,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_04,5,0.1557104330066306,0.4358974358974359,0.41025641025641024,0.4927536231884058,0.7536231884057971,0.8076923076923077,0.5800445930880713,0.6360089186176143,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_05,5,0.17301325418530372,0.358974358974359,0.15384615384615385,0.7246376811594203,0.7246376811594203,0.4358974358974359,0.4795986622073579,0.48885172798216275,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_06,5,0.22845425680390735,0.0641025641025641,0.0,0.3188405797101449,0.10144927536231885,0.07692307692307693,0.11226309921962097,0.1341973244147157,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_07,5,0.08553350967561757,0.21794871794871795,0.3717948717948718,0.2028985507246377,0.4057971014492754,0.4230769230769231,0.3243032329988852,0.31675027870680045,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_08,5,0.1419032198712944,0.16666666666666666,0.038461538461538464,0.3333333333333333,0.028985507246376812,0.3974358974358974,0.19297658862876252,0.3237179487179487,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_09,5,0.18246552633944876,0.782051282051282,0.9487179487179487,0.9420289855072463,0.9420289855072463,0.3333333333333333,0.7896321070234114,0.5976867335562988,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-07-19_10,5,0.08737529864607232,0.0,0.15384615384615385,0.9565217391304348,0.42028985507246375,0.24358974358974358,0.35484949832775925,0.3609253065774805,"ood,initial_state,delta,ewma,disagreement",0.5655965278884605
2024-08-01_01,6,0.08771731618730036,0.717948717948718,0.782051282051282,0.5,0.5,0.6282051282051282,0.6256410256410256,0.641025641025641,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_02,6,0.062101406016831784,0.7307692307692307,0.5769230769230769,0.5797101449275363,0.5652173913043478,0.7948717948717948,0.6494983277591972,0.7090301003344481,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_03,6,0.41797698626660357,0.2948717948717949,0.0,0.37681159420289856,0.3188405797101449,0.9871794871794872,0.39554069119286506,0.4884336677814939,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_04,6,0.29876496584184004,0.21794871794871795,0.08974358974358974,0.15942028985507245,0.463768115942029,0.2948717948717949,0.24515050167224078,0.22254738015607584,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_05,6,0.06816399683113081,0.2564102564102564,0.05128205128205128,0.07246376811594203,0.07246376811594203,0.4230769230769231,0.17513935340022296,0.25209030100334445,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_06,6,0.14191716116110925,0.7564102564102564,0.5641025641025641,0.36231884057971014,0.2608695652173913,0.9102564102564102,0.5707915273132664,0.6963489409141583,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_07,6,0.22261245788234757,0.782051282051282,0.7692307692307693,0.028985507246376812,0.18840579710144928,0.4230769230769231,0.43835005574136005,0.5040412486064659,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_08,6,0.0635064890076101,0.10256410256410256,0.5,0.37681159420289856,0.08695652173913043,0.3333333333333333,0.2799331103678929,0.22881828316610925,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_09,6,0.09672364839147303,0.46153846153846156,0.5,0.014492753623188406,0.0,0.46153846153846156,0.2875139353400223,0.34977703455964326,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-01_10,6,0.05759941581693563,0.6538461538461539,0.7435897435897436,0.5072463768115942,0.391304347826087,0.7051282051282052,0.6002229654403568,0.6300167224080268,"ood,initial_state,delta,ewma,disagreement",0.5794432757011753
2024-08-05_01,7,0.19163279048479265,0.8048780487804879,0.7195121951219512,0.5,0.5,1.0,0.7048780487804878,0.9024390243902439,"ood,initial_state,delta,ewma,disagreement",0.5933819570127932
2024-08-05_02,7,0.10879737530598381,0.5975609756097561,0.06097560975609756,0.5753424657534246,0.6301369863013698,0.036585365853658534,0.38012028065486125,0.3170731707317073,"ood,initial_state,delta,ewma,disagreement",0.5933819570127932
2024-08-05_03,7,0.2090194276048867,0.6219512195121951,0.24390243902439024,0.4520547945205479,0.5616438356164384,0.43902439024390244,0.4637153357834948,0.5304878048780488,"ood,initial_state,delta,ewma,disagreement",0.5933819570127932
2024-08-05_04,7,0.055572718253138,0.0975609756097561,0.024390243902439025,0.3561643835616438,0.1643835616438356,0.5,0.2284998329435349,0.29878048780487804,"ood,initial_state,delta,ewma,disagreement",0.5933819570127932
2024-08-05_05,7,0.05457786626747527,0.34146341463414637,0.13414634146341464,0.0958904109589041,0.1232876712328767,0.6829268292682927,0.2755429335115269,0.5121951219512195,"ood,initial_state,delta,ewma,disagreement",0.5933819570127932
2024-08-05_06,7,0.15730913835110624,0.0975609756097561,0.1951219512195122,0.0821917808219178,0.0410958904109589,0.6829268292682927,0.21977948546608755,0.3902439024390244,"ood,initial_state,delta,ewma,disagreement",0.5933819570127932
