stage,X,Y,coordinate_mae
full_map,-95000.0,-19000.0,0.23062711443911682
full_map,-95000.0,0.0,0.2176957180974604
full_map,-95000.0,19000.0,0.2667863959999275
full_map,-76000.0,-57000.0,0.1975751363034484
full_map,-76000.0,-38000.0,0.5146136713127195
full_map,-76000.0,-19000.0,0.15323237859255145
full_map,-76000.0,0.0,0.1496678939522819
full_map,-76000.0,19000.0,0.15382419430047803
full_map,-76000.0,38000.0,0.1721279028250939
full_map,-76000.0,57000.0,0.23316233092217598
full_map,-57000.0,-76000.0,0.17237950253326675
full_map,-57000.0,-57000.0,0.1449009253594574
full_map,-57000.0,-38000.0,0.1342604393498246
full_map,-57000.0,-19000.0,0.12770801972741114
full_map,-57000.0,0.0,0.12428914340886621
full_map,-57000.0,19000.0,0.12549176904048576
full_map,-57000.0,38000.0,0.1350327887834161
full_map,-57000.0,57000.0,0.16158357225766437
full_map,-57000.0,76000.0,0.23075495158168816
full_map,-38000.0,-76000.0,0.13567893062441316
full_map,-38000.0,-57000.0,0.12075167870932853
full_map,-38000.0,-38000.0,0.11419849063754718
full_map,-38000.0,-19000.0,0.113142782290298
full_map,-38000.0,0.0,0.11130623646465859
full_map,-38000.0,19000.0,0.11121982153794177
full_map,-38000.0,38000.0,0.1169638248315091
full_map,-38000.0,57000.0,0.13214384487406197
full_map,-38000.0,76000.0,0.16772842618239692
full_map,-19000.0,-95000.0,0.16861382189647903
full_map,-19000.0,-76000.0,0.11825939277024457
full_map,-19000.0,-57000.0,0.10657949617870764
full_map,-19000.0,-38000.0,0.10342266575536894
full_map,-19000.0,-19000.0,0.10237225207867921
full_map,-19000.0,0.0,0.10391441764315523
full_map,-19000.0,19000.0,0.10696982459413341
full_map,-19000.0,38000.0,0.11139963290601954
full_map,-19000.0,57000.0,0.12064572002365717
full_map,-19000.0,76000.0,0.14325317575673396
full_map,-19000.0,95000.0,0.23234280268829383
full_map,0.0,-95000.0,0.14807838360316283
full_map,0.0,-76000.0,0.11007900590185814
full_map,0.0,-57000.0,0.10255257305505984
full_map,0.0,-38000.0,0.10021649863296025
full_map,0.0,-19000.0,0.09932947730834372
full_map,0.0,0.0,0.10400358111389724
full_map,0.0,19000.0,0.10423815328886016
full_map,0.0,38000.0,0.1048530787231467
full_map,0.0,57000.0,0.11115315530796899
full_map,0.0,76000.0,0.13347338579093784
full_map,0.0,95000.0,0.2112085955313695
full_map,19000.0,-95000.0,0.16901830837378082
full_map,19000.0,-76000.0,0.1132252571647073
full_map,19000.0,-57000.0,0.10821178561778327
full_map,19000.0,-38000.0,0.10284556561620467
full_map,19000.0,-19000.0,0.1012382494410736
full_map,19000.0,0.0,0.09993102918132193
full_map,19000.0,19000.0,0.09944651452227954
full_map,19000.0,38000.0,0.1022155166924343
full_map,19000.0,57000.0,0.10922223951789967
full_map,19000.0,76000.0,0.13035500623861038
full_map,19000.0,95000.0,0.20902948504841287
full_map,38000.0,-76000.0,0.13021878931304756
full_map,38000.0,-57000.0,0.12103869843204813
full_map,38000.0,-38000.0,0.1143767866977515
full_map,38000.0,-19000.0,0.10794227131095836
full_map,38000.0,0.0,0.10414411727900488
full_map,38000.0,19000.0,0.10432917591253582
full_map,38000.0,38000.0,0.10624056082088362
full_map,38000.0,57000.0,0.11495580266890636
full_map,38000.0,76000.0,0.14292925591825947
full_map,57000.0,-76000.0,0.16844130949766073
full_map,57000.0,-57000.0,0.1374803940616027
full_map,57000.0,-38000.0,0.1250700381784822
full_map,57000.0,-19000.0,0.11881239157924538
full_map,57000.0,0.0,0.1133851198250583
full_map,57000.0,19000.0,0.11179446676032362
full_map,57000.0,38000.0,0.12158177585884346
full_map,57000.0,57000.0,0.13502034731315157
full_map,57000.0,76000.0,0.20364188844776307
full_map,76000.0,-57000.0,0.17434731009325244
full_map,76000.0,-38000.0,0.14589307727094816
full_map,76000.0,-19000.0,0.1386481807076116
full_map,76000.0,0.0,0.13228627157741843
full_map,76000.0,19000.0,0.13094485967714362
full_map,76000.0,38000.0,0.14915498109013736
full_map,76000.0,57000.0,0.2043661221267187
full_map,95000.0,-19000.0,0.3691551775664903
full_map,95000.0,0.0,0.17968427229606412
full_map,95000.0,19000.0,0.21437335596742085
mean_shift,-95000.0,-19000.0,0.24071773776108776
mean_shift,-95000.0,0.0,0.2879856579712945
