experiment_key,lot_number,stage,full_map_mae,full_map_rmse,mean_shift_absolute_error,mean_centered_residual_mae,mean_centered_residual_rmse,spatial_correlation_after_mean_removal,center_mean_error,middle_zone_mean_error,edge_mean_error,center_to_edge_difference_error,map_standard_deviation_error,map_range_error,worst_point_absolute_error,p95_point_absolute_error
2024-07-02_01,1,full_map,0.14585171856233559,0.24489355517343767,0.09321301758727014,0.14170744321308285,0.22646012169421975,0.9983135837140945,0.012705811396195088,0.04678166750822754,0.13214845331674496,0.11944264192054987,0.05974407554109051,0.09681752685968092,1.2561401562704333,0.4041971378032825
2024-07-02_01,1,mean_shift,0.26361858254200343,0.31952496963103894,0.09321301758727829,0.2268108358010031,0.30562647066311205,0.9973140056216891,0.24003732580960246,0.22836092938604224,0.00497083441977253,0.245008160229375,0.14680380838450668,0.6596025316455538,1.0190260740514958,0.655337723416843
2024-07-02_01,1,oracle_true_mean_pca_reconstruction,0.13596218017702294,0.21752866854328018,3.4329592851330684e-15,0.13596218017702294,0.21752866854328018,0.9983522693584344,0.043212504446096034,0.018423933105729873,0.017399666672609726,0.06061217111870576,0.032204093023266545,0.19160819310423705,1.1073404963489892,0.3776903552693395
2024-07-02_01,1,oracle_true_mean_zero_residual,0.2268108358010051,0.30562647066311205,1.1097240479848756e-14,0.22681083580100111,0.30562647066311205,0.9973140056216891,0.14682430822232817,0.13514791179876795,0.09818385200702551,0.24500816022935368,0.14680380838450668,0.6596025316455538,0.9258130564642286,0.7169699530650061
2024-07-02_01,1,template,0.6920004835727498,0.7504100949033217,0.6853522969705597,0.2268108358010031,0.30562647066311205,0.9973140056216891,0.5385279887482426,0.5502043851717957,0.7835361489776105,0.2450081602293679,0.14680380838450668,0.6596025316455538,1.5625392405063323,1.2837379746835607
2024-07-02_02,1,full_map,0.1706597400302561,0.20874873896966056,0.07367468771997042,0.16768984965079395,0.19531532559117915,0.9985907739545286,0.04164466553147861,0.06724999484556093,0.08267779541574072,0.04103312988426211,0.0016006867093447674,0.21186310692996102,0.5712445937358908,0.38024119860791067
2024-07-02_02,1,mean_shift,0.2018067089154627,0.25890445734508666,0.07367468771996276,0.2026982199217261,0.24820064146274834,0.9979947803748185,0.06368907118900324,0.01688450016226284,0.14621182408308897,0.2099008952720922,0.09341867749583121,0.04890253164555247,0.6811110694579909,0.5823019555339314
2024-07-02_02,1,oracle_true_mean_pca_reconstruction,0.15920148289425567,0.18906314833024496,1.4370527240091913e-15,0.15920148289425576,0.18906314833024496,0.998728547516513,0.005314491125055554,0.02271882207492837,0.013153027658155736,0.01846751878321129,0.03227633222928361,0.30368595378809715,0.4556867352144991,0.3180369773478488
2024-07-02_02,1,oracle_true_mean_zero_residual,0.20269821992172699,0.24820064146274834,9.340842706059745e-15,0.2026982199217261,0.24820064146274834,0.9979947803748185,0.13736375890897534,0.09055918788224204,0.07253713636312398,0.20990089527209932,0.09341867749583121,0.04890253164555247,0.6074363817380188,0.5086272678139593
2024-07-02_02,1,template,0.43630285876831243,0.5019599017769464,0.43630285876831243,0.2026982199217261,0.24820064146274834,0.9979947803748185,0.2989390998593464,0.3457436708860797,0.5088399951314599,0.20990089527211353,0.09341867749583121,0.04890253164555247,1.0437392405063406,0.944930126582281
