test_lot,calibration_lot,fit_maximum_lot,fit_wafers,calibration_wafers,nominal_coverage,point_empirical_coverage,simultaneous_map_coverage,mean_point_interval_width,simultaneous_interval_width,template_baseline_mae,point_half_width_vs_template_mae,point_quantile_rank,simultaneous_quantile_rank,nominal_attainable,coverage_resolution
4,3,2,19,10,0.8,0.6393258426966292,1.0,1.098028464079962,5.26878147623853,0.4544316558249557,1.2081337754592034,9,9,True,0.09090909090909091
4,3,2,19,10,0.9,0.9853932584269663,1.0,2.1247633376957626,22.66827830649082,0.4544316558249557,2.337824962742262,10,10,True,0.09090909090909091
4,3,2,19,10,0.95,0.9853932584269663,1.0,2.1247633376957626,22.66827830649082,0.4544316558249557,2.337824962742262,10,10,False,0.09090909090909091
5,4,3,29,10,0.8,0.9112359550561798,0.9,0.8106786234756318,7.370441783452421,0.3819262650135608,1.0613025310616535,9,9,True,0.09090909090909091
5,4,3,29,10,0.9,0.9730337078651685,1.0,1.0177098833446827,9.141787881936395,0.3819262650135608,1.332338171752272,10,10,True,0.09090909090909091
5,4,3,29,10,0.95,0.9730337078651685,1.0,1.0177098833446827,9.141787881936395,0.3819262650135608,1.332338171752272,10,10,False,0.09090909090909091
6,5,4,39,10,0.8,0.749438202247191,0.5,0.4801988521945743,1.2137026559876603,0.3822936848170558,0.628049679167955,9,9,True,0.09090909090909091
6,5,4,39,10,0.9,0.8617977528089887,0.9,0.6281983362043679,2.515203670701652,0.3822936848170558,0.8216174647313207,10,10,True,0.09090909090909091
6,5,4,39,10,0.95,0.8617977528089887,0.9,0.6281983362043679,2.515203670701652,0.3822936848170558,0.8216174647313207,10,10,False,0.09090909090909091
7,6,5,49,10,0.8,0.9269662921348315,1.0,0.7570211663198173,1.9358717798738354,0.192314786363984,1.9681824279674562,9,9,True,0.09090909090909091
7,6,5,49,10,0.9,0.99812734082397,1.0,1.383603437365403,31.33846785018806,0.192314786363984,3.597236238368926,10,10,True,0.09090909090909091
7,6,5,49,10,0.95,0.99812734082397,1.0,1.383603437365403,31.33846785018806,0.192314786363984,3.597236238368926,10,10,False,0.09090909090909091
8,7,6,59,6,0.8,0.7382022471910112,1.0,0.6314800555814245,2.469539467321553,0.18633079984764825,1.694513349638784,6,6,True,0.14285714285714285
8,7,6,59,6,0.9,0.7382022471910112,1.0,0.6314800555814245,2.469539467321553,0.18633079984764825,1.694513349638784,6,6,False,0.14285714285714285
8,7,6,59,6,0.95,0.7382022471910112,1.0,0.6314800555814245,2.469539467321553,0.18633079984764825,1.694513349638784,6,6,False,0.14285714285714285
9,8,7,65,10,0.8,0.9862671660424469,1.0,1.1215229088563026,1.9782626535501322,0.3712872025352924,1.5103172169658838,9,9,True,0.09090909090909091
9,8,7,65,10,0.9,0.9987515605493134,1.0,1.6581507772103257,2.305198859784454,0.3712872025352924,2.232975935997567,10,10,True,0.09090909090909091
9,8,7,65,10,0.95,0.9987515605493134,1.0,1.6581507772103257,2.305198859784454,0.3712872025352924,2.232975935997567,10,10,False,0.09090909090909091
10,9,8,75,9,0.8,0.5196629213483146,0.75,0.3218400085920779,1.4335715343402597,0.45106845318352023,0.3567529565863201,8,8,True,0.1
10,9,8,75,9,0.9,0.6657303370786517,1.0,0.39547316969500496,1.5248831788988753,0.45106845318352023,0.4383737844044084,9,9,True,0.1
10,9,8,75,9,0.95,0.6657303370786517,1.0,0.39547316969500496,1.5248831788988753,0.45106845318352023,0.4383737844044084,9,9,False,0.1
