experiment_key,test_lot,calibration_lot,nominal_coverage,X,Y,observed,predicted,absolute_error,point_half_width,point_covered,simultaneous_half_width,simultaneous_map_covered
2024-07-11_01,4,3,0.8,-19000.0,-95000.0,52.768,51.97016730128948,0.797832698710522,0.5761349979750392,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,-95000.0,52.491,51.920328624034155,0.5706713759658442,0.6567958238786531,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,-95000.0,52.9548,52.02322754554947,0.9315724544505315,0.5945717640215733,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,-76000.0,52.4607,51.81508226967342,0.6456177303265846,0.6338533873422065,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-38000.0,-76000.0,46.6599,46.30901459994762,0.3508854000523769,0.6006884455517181,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,-76000.0,44.8722,44.542133818332104,0.33006618166789536,0.5608400144521042,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,-76000.0,44.4516,44.078180906779615,0.37341909322038447,0.5338710529265498,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,-76000.0,44.827,44.392029152174885,0.4349708478251131,0.5264006018505185,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,-76000.0,46.5061,45.98864531384148,0.5174546861585227,0.5295790432721077,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,-76000.0,52.0813,51.39175888210341,0.6895411178965887,0.6160549044915058,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-76000.0,-57000.0,52.2169,51.57380435215193,0.6430956478480709,0.6404300908560501,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,-57000.0,45.0065,44.731908103699155,0.2745918963008478,0.5126249890006065,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-38000.0,-57000.0,43.2174,42.96787135586632,0.24952864413367593,0.38197918994210767,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,-57000.0,42.8245,42.54564235051772,0.2788576494822834,0.46754170286146746,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,-57000.0,42.789,42.44163786179045,0.3473621382095544,0.5161943564902671,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,-57000.0,42.8229,42.41836006472142,0.4045399352785779,0.4994599183397668,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,-57000.0,43.1657,42.6878760575896,0.47782394241040294,0.47915153652271414,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,-57000.0,44.842,44.277431532499165,0.564568467500834,0.4934844457558114,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,76000.0,-57000.0,51.7555,50.98854258189734,0.7669574181026562,0.6443897399675151,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-76000.0,-38000.0,46.0075,45.689219786553046,0.318280213446954,0.6125092023941221,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,-38000.0,42.8207,42.61189898876595,0.20880101123405126,0.3098393576243623,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-38000.0,-38000.0,42.3583,42.12477995475233,0.23352004524767267,0.3503883714563827,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-19000.0,-38000.0,42.488,42.226185643774954,0.26181435622504523,0.4715569526384584,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,0.0,-38000.0,42.5939,42.280200948666405,0.3136990513335931,0.5218556123759583,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,19000.0,-38000.0,42.4817,42.114530037429276,0.36716996257072054,0.4940325951014728,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,38000.0,-38000.0,42.3383,41.890638932658916,0.44766106734108035,0.46756475251517315,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,57000.0,-38000.0,42.7495,42.23493232541767,0.5145676745823309,0.4732032159202504,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,76000.0,-38000.0,45.7138,45.10074822863201,0.6130517713679922,0.5097510042426592,False,2.634390738119265,True
2024-07-11_01,4,3,0.8,-95000.0,-19000.0,51.1258,50.63565728814168,0.4901427118583186,0.5418967994401243,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-76000.0,-19000.0,43.8165,43.545798032736286,0.27070196726371165,0.5131052198041033,True,2.634390738119265,True
2024-07-11_01,4,3,0.8,-57000.0,-19000.0,42.0685,41.855116912831434,0.21338308716856602,0.31075647248389515,True,2.634390738119265,True
